reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
ATPtm,10.52455479775555,10.792623258352265,1.0254707648682566,Unchanged,ADP + ATP --> ADP + ATP,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
BILGLCURtr,-0.0061799830332533,-0.0258110500565122,4.176556783024792,Increased,mono(glucosyluronic acid)bilirubin(2-) <==> mono(glucosyluronic acid)bilirubin(2-),"['Transport, Endoplasmic Reticulum']","Transport, Endoplasmic Reticulum","['Transport, Endoplasmic Reticulum']","Transport, Endoplasmic Reticulum"
BIOMASS_maintenance,0.0236948002931315,0.0266286837919982,1.1238197183589327,Unchanged,"0.3449 L-alanine + 0.2755 L-argininium(1+) + 0.1901 L-asparagine + 0.2448 L-aspartate(1-) + 29.93 ATP + 0.020401 cholesterol + 0.0066 cardiolipin + 0.039036 CTP + 0.1067 L-cysteine + 0.035 dATP + 0.02523 dCTP + 0.02523 dGTP + 0.035 dTTP + 0.27519 D-Glucose 6-phosphate + 0.2424 L-glutamine + 0.3626 L-glutamate(1-) + 0.3106 Glycine + 0.025686 glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) + 0.036117 GTP + 29.83 Water + 0.1255 L-histidine + 0.2186 L-isoleucine + 0.4616 L-leucine + 0.3013 L-lysinium(1+) + 0.1088 L-methionine + 0.0017 phosphatidate(2-) + 0.0182 1-phosphatidyl-1D-myo-inositol(1-) + 0.1302 Phosphatidylcholine + 0.05 Phosphatidylethanolamine (gallus gallus) + 0.0015 phosphatidylglycerol(1-) + 0.1674 L-phenylalanine + 0.2936 L-proline + 0.0165 phosphatidylserine + 0.433 L-serine + 0.0214 sphingomyelin betaine + 0.010837 triglyceride + 0.2674 L-Threonine + 0.0552 L-tryptophan + 0.131 L-tyrosine + 0.053446 UTP + 0.2967 L-valine --> 29.83 ADP + 29.83 proton + 29.83 hydrogenphosphate",['Biomass And Maintenance Functions'],Biomass And Maintenance Functions,['Biomass And Maintenance Functions'],Biomass And Maintenance Functions
BTNt2,-0.0973132515119988,-0.0554675064746254,0.5699892420898732,Decreased,Biotin + proton <==> Biotin + proton,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
BTNt4i,0.0973132515119988,0.0554675064746376,0.5699892420899986,Decreased,Biotin + proton --> Biotin + proton,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CA2t,-0.0187331147445824,0.0,2000.0,Off,Calcium <==> Calcium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CAt7r,-0.0187331147445824,0.0,2000.0,Off,Calcium + 3.0 Sodium <==> Calcium + 3.0 Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CDIPTr,0.0004312453653349,0.0004846420450143,1.12381971835902,Unchanged,CDP-diacylglycerol(2-) + myo-inositol <==> CMP + proton + 1-phosphatidyl-1D-myo-inositol(1-),['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CDS,0.000779558929644,0.0008760836967567,1.1238197183589185,Unchanged,CTP + proton + phosphatidate(2-) --> CDP-diacylglycerol(2-) + Diphosphate,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CEPTC,0.011412292528783,0.0128253593755266,1.1238197183589274,Unchanged,CDPcholine + diglyceride --> CMP + proton + Phosphatidylcholine,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
