genes	slow-heart	slow-heart.1	slow-heart.2	slow-heart.3	slow-heart.4	slow-heart.5	slow-heart.6	slow-heart.7	slow-heart.8	slow-heart.9	slow-heart.10	slow-heart.11
C1orf198	363.043786762579	254.303420431612	145.272272930296	290.339536149494	363.880520154321	419.686279973136	468.91318229826	497.536600452464	270.931965536575	345.002140176393	131.932423806547	357.960745893022
LOC100857597	0	0	0	0.692934453817408	0	0	0.951142357602962	0	1.45077357717041	1.17082174268007	0	0
AP2A2	96.9620051601918	114.69603248038	181.191241511962	137.893956309664	103.758263334739	122.940301154921	143.860281587448	144.647885411795	119.326126722267	120.20436558182	126.535188287188	149.075921606321
TCF4	198.152004731438	152.582052258967	66.6496417015368	130.96461177149	178.743226753121	165.547092547543	201.166608633027	204.592054141008	137.823489831189	141.279156950062	136.729966490421	162.912309539842
TRRAP	2.2549303525626	4.41138586463001	5.98649476361109	3.46467226908704	4.06895150332308	3.19081697653994	6.18242532441926	3.12752184674152	4.35232073151124	1.95136957113345	2.39877134193721	4.46335094629703
LOC121107700	25.6498327603996	26.7278084739347	11.9729895272222	20.0950991607048	29.0639393094506	18.7695116267056	26.8697716022837	20.0682651832581	17.7719763203376	19.1234217971078	16.7913993935605	12.4973826496317
LOC121113204	0	0	0	0	0	0	0.237785589400741	0	0	0.780547828453379	0	0
TMEM131L	13.8114484094459	18.9430098892935	23.9459790544443	8.31521344580889	3.48767271713407	28.7173527888595	23.7785589400741	10.1644460019099	25.0258442061896	23.4164348536014	29.9846417742152	26.3337705831525
CCDC32	43.4074092868301	46.7087915078471	58.6676486833886	40.8831327752271	32.8422514196791	49.1761204619685	42.8014060921333	36.2271280580893	60.5697968468648	32.0024609665885	26.9861775967937	44.6335094629703
DLST	236.203954430932	271.170484031668	115.738898763148	158.681989924186	361.84604440266	247.94524858878	146.951494249658	236.649153070109	237.564173261655	201.381339740972	192.501400190461	182.551053703549
PWP1	23.1130361137667	42.5568989293718	47.4928584579813	31.8749848756008	21.7979544820879	25.7142309285866	38.7590510723207	43.0034253926959	29.3781649377009	26.9289000816416	21.5889420774349	30.7971215294495
POP1	8.73785511618008	4.41138586463001	13.1702884799444	1.38586890763482	2.90639393094506	7.13241441814811	3.56678384101111	3.38814866730332	9.43002825160769	8.97630002721386	6.59662119032734	4.46335094629703
RHOBTB2	4.22799441105488	10.3797314461882	4.39009615998146	4.85054117672185	6.97534543426814	3.19081697653994	4.75571178801481	2.86689502617973	4.35232073151124	3.12219131381352	4.79754268387443	2.67801056777822
GOLGA7	29.8778271714545	43.5948720739906	43.5018619489072	18.70923025307	24.704348413033	27.7788772075242	33.2899825161037	24.4989211328086	22.4869904461414	26.1483522531882	31.1840274451838	29.9044513401901
ROR2	33.5420889943687	32.9556473416477	19.5558828944629	21.4809680683396	27.029463557789	48.9884253457015	29.9609842644933	23.4564138505614	33.7304856692121	33.5635566234953	24.5874062548564	47.7578551253782
UBIAD1	20.5762394671337	39.4429794955153	25.1432780071666	14.5516235301656	22.6698726613714	27.4034869749901	21.4007030460667	21.1107724655053	19.222749897508	15.2206826548409	20.3895564064663	17.8534037851881
SYNGR2	171.656573088828	209.151588640693	179.99394255924	220.353156313936	236.289826585833	276.287211145106	143.384710408647	297.375202261007	207.823314929662	184.599561429224	184.705393329165	192.816760880032
LOC121109757	0.281866294070325	0.259493286154706	0	0.692934453817408	0.581278786189011	0.187695116267056	0	0.260626820561794	0	0	0	0
ME1	5.35545958733617	6.48733215386765	11.9729895272222	11.0869512610785	4.35959089641758	9.94784116215394	4.75571178801481	8.34005825797739	10.5181084344855	8.97630002721386	12.5935495451704	7.58769660870496
CBLN2	0	0	0	0	0	0.187695116267056	0	0.521253641123587	0	0	0	0.446335094629703
LSM10	10.9927854687427	11.9366911631165	14.3675874326666	6.23641008435667	9.59109997211869	9.19706069708572	14.2671353640444	8.60068507853919	10.1554150401929	7.4152043703071	6.59662119032734	12.051047555002
MYOZ2	1041.21409029578	518.208092450948	104.963208188648	514.850299186334	848.957667229051	847.068059713221	929.266083378094	592.404763136957	596.26794021704	756.741119685551	325.633209667977	561.489549044167
CHN2	37.7700834054235	31.9176741970289	132.900183752166	65.1358386588363	36.6205635299077	39.6036695323487	46.6059755225452	55.513512779662	64.5594241840834	43.7106783933892	73.7622187645693	42.4018339898218
ARHGAP33	5.6373258814065	3.37341272001118	15.1657867344814	13.1657546225307	4.9408696826066	5.25546325547755	5.70685414561777	5.47316323179767	10.8808018287781	6.24438262762703	8.99539253226455	8.03403170333466
ZIC2	0	0	0	0.692934453817408	0	0	0	0.521253641123587	0	0	0	0
GPR12	0	0	0	0	0	0.187695116267056	0	0.260626820561794	0.362693394292604	0.390273914226689	0	0
LOC112533186	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	0.845598882210975	3.11391943385647	0.399099650907406	1.38586890763482	0.290639393094506	0.938475581335278	0.713356768202222	0.781880461685381	2.53885376004822	3.12219131381352	1.79907850645291	2.23167547314852
CCDC96	0	0	0	0.692934453817408	0	0	0	0	0	0	0	0
LOC121108727	32.6964901121577	26.2088219016253	9.57839162177773	18.0162957992526	36.9112029230022	11.0740118597563	32.3388401585007	26.8445625178647	21.7616036575562	10.5373956841206	26.9861775967937	13.8363879335208
DSCC1	1.97306405849227	2.33543957539236	54.2775525234072	1.38586890763482	3.19703332403956	3.378512092807	4.28014060921333	3.9094023084269	4.71501412580385	3.90273914226689	4.79754268387443	2.67801056777822
LOC107053023	0	1.03797314461882	0	0	0	0	0.475571178801481	0	1.08808018287781	0.390273914226689	0	0
SP4	6.7647910576878	4.41138586463001	19.1567832435555	10.3940168072611	9.00982118592967	15.7663897664327	9.98699475483111	15.3769824131458	17.0465895317524	17.562326140201	10.7944710387175	14.7290581227802
RIPK4	0	0.259493286154706	0.399099650907406	1.38586890763482	0.290639393094506	1.12617069760233	0.713356768202222	0.260626820561794	1.45077357717041	0	0.599692835484303	1.33900528388911
COLEC10	6.7647910576878	2.07594628923765	1.59639860362962	1.38586890763482	4.9408696826066	1.87695116267056	2.85342707280889	2.60626820561794	4.71501412580385	3.51246522804021	7.79600686129595	3.12434566240792
FAM78B	0	0	1.59639860362962	1.38586890763482	0	0.563085348801167	0.713356768202222	0	0.725386788585207	0	2.99846417742152	0.892670189259407
RFWD2	10.9927854687427	9.60125158772413	5.58739511270368	2.07880336145222	2.90639393094506	9.19706069708572	9.03585239722814	11.4675801047189	9.06733485731509	2.73191739958683	5.39723551935873	4.90968604092674
ATAD2B	13.5295821153756	14.5316240246635	23.1477797526295	5.54347563053926	4.9408696826066	16.7048653477679	13.5537785958422	12.5100873869661	20.6735234746784	14.4401348263875	20.9892492419506	14.7290581227802
ATP6V0A2	2.81866294070325	3.11391943385647	2.39459790544443	2.07880336145222	2.61575453785055	1.50156093013644	2.85342707280889	2.86689502617973	1.45077357717041	2.34164348536014	1.19938567096861	2.67801056777822
LOC428872	1.1274651762813	1.29746643077353	1.19729895272222	3.46467226908704	4.35959089641758	6.94471930188105	3.32899825161037	4.1700291289887	5.80309430868166	7.02493045608041	4.19784984839012	8.03403170333466
LOC100857843	0.56373258814065	1.55695971692824	2.39459790544443	2.77173781526963	2.32511514475605	0.750780465068222	1.42671353640444	0.781880461685381	2.17616036575562	1.95136957113345	2.39877134193721	1.33900528388911
LOC121111675	0.281866294070325	0	0	0	0	0	0	0	0	0.390273914226689	0	0
LOC121113129	0	0	0	0	0	0	0.713356768202222	0	0	0	0	0
LOC124417418	0.56373258814065	0.518986572309412	1.99549825453703	1.38586890763482	0	0.187695116267056	0.475571178801481	0.781880461685381	0.362693394292604	0.780547828453379	1.19938567096861	0.446335094629703
MKRN4P	109.927854687427	108.468193612667	57.071250079759	35.3396571446878	110.152329982818	54.8069739499802	107.954657587936	69.3267342694371	55.1293959324757	53.4675262490565	32.9831059516367	47.3115200307485
KLHL17	1.69119776442195	2.85442614770177	1.19729895272222	2.77173781526963	2.90639393094506	2.62773162773878	0.951142357602962	3.12752184674152	2.17616036575562	1.56109565690676	0	1.33900528388911
ARRDC2	18.0394428205008	22.3164226093047	38.3135664871109	36.7255260523226	11.0442969375912	27.9665723237913	34.7166960525081	20.5895188243817	33.3677922749195	47.2231436214294	82.7576112968339	26.7801056777822
PAFAH1B1	146.006740328428	137.790934948149	114.142500159518	105.326036980246	140.960105650835	177.559579988635	153.847276342279	156.115465516514	128.393461579582	120.594639496047	110.343481729112	145.505240849283
LOC100858759	0	0	0	0	0	0	0.237785589400741	0	0	0.780547828453379	0	0
PEF1	38.0519496994939	54.2340968063336	53.4793532215924	33.2608537832356	47.9554998605934	36.0374623232747	46.1304043437437	47.1734545216846	37.7201130064308	32.0024609665885	34.7821844580896	27.2264407724119
CHEK2	2.81866294070325	3.11391943385647	5.18829546179627	2.07880336145222	3.48767271713407	2.81542674400583	3.80456943041185	1.82438774393256	3.62693394292604	1.56109565690676	4.19784984839012	1.33900528388911
RBFOX1	0.845598882210975	0.259493286154706	1.19729895272222	2.77173781526963	0.290639393094506	1.50156093013644	3.32899825161037	1.30313410280897	1.08808018287781	1.17082174268007	2.39877134193721	0.892670189259407
ZCCHC6	36.0788856410016	35.29108691704	23.1477797526295	20.0950991607048	28.192021130167	27.028096742456	40.6613357875266	32.838979390786	24.663150811897	26.9289000816416	23.3880205838878	24.5484302046337
LOC124417710	0	0.259493286154706	0	0	0	0.187695116267056	0	0	0.725386788585207	1.17082174268007	8.39569969678025	0
WWP2	23.394902407837	19.461996461603	30.7306731198702	13.8586890763482	23.541790840655	13.7017434874951	24.729701297677	19.2863847215727	16.3212027431672	16.7817783117476	9.59508536774885	13.3900528388911
TNKS	0.56373258814065	1.03797314461882	1.59639860362962	3.46467226908704	0.581278786189011	2.44003651147172	3.80456943041185	1.56376092337076	3.26424054863343	5.85410871340034	4.79754268387443	1.33900528388911
CLASP2	29.3140945833138	26.2088219016253	87.8019231996292	58.2064941206622	25.5762665923165	52.1792423222414	54.6906855621703	56.5560200619092	58.7563298754018	47.6134175356561	56.3711265355245	38.3848181381545
HYAL3	36.0788856410016	22.8354091816141	65.8514423997219	27.7173781526963	53.7682877224835	23.649584649649	30.6743410326955	37.0090085197747	25.7512309947749	32.3927348808152	34.1824916226053	20.5314143529664
LOC771612	5.07359329326585	5.44935900924883	1.59639860362962	2.77173781526963	0	2.25234139520467	6.89578209262148	3.64877548786511	2.17616036575562	1.95136957113345	1.19938567096861	0.892670189259407
