genes	slow-breast	slow-breast.1	slow-breast.2	slow-breast.3	slow-breast.4	slow-breast.5	slow-breast.6	slow-breast.7	slow-breast.8	slow-breast.9	slow-breast.10	slow-breast.11
UHRF1	1.00329391763151	1.51293504540447	6.38562728240716	0.692062689502274	3.39999752186571	1.22287843144337	2.19799634777059	1.03755352945538	1.51177207756153	1.29893446978273	2.05218172826245	0.971207771984931
LOC107054419	0.33443130587717	1.26077920450372	0	0.461375126334849	0	0	0.313999478252942	1.03755352945538	0	0	2.05218172826245	0.161867961997489
SLC40A1	3.3443130587717	1.51293504540447	4.25708485493811	2.07618806850682	2.61538270912747	2.44575686288674	3.45399426078236	2.85327220600229	2.11648090858614	2.41230687245363	3.07827259239368	2.91362331595479
LOC121109773	0	0.252155840900744	0.304077489638436	0	0.261538270912747	0	0	0.259388382363845	0.151177207756153	0.185562067111818	0	0
NDRG4	3.00988175289453	3.27802593170967	15.5079519715603	8.30475227402729	8.3692246692079	8.5601490201036	5.02399165204707	5.70654441200458	5.29120227146534	5.19573787913091	15.3913629619684	7.93153013787694
RNF141	45.4826575992951	39.8406228623176	32.2322139016743	45.6761375071501	81.599940524777	35.0558483680433	29.8299504340295	55.5091138258627	61.0755919334856	66.0600958918072	23.6000898750182	44.1899536253144
DCN	92.6374717279761	56.230752520866	305.597877086629	243.144691578466	107.753767616052	94.9768915087685	79.1278685197413	61.9938233849589	32.6542768753289	26.53537559699	99.530813820729	47.5891808272616
ANKRD31	3.67874436464887	2.77371424990819	5.47339481349186	8.99681496352956	3.39999752186571	5.29913986958794	3.7679937390353	4.15021411782151	4.83767064819688	2.41230687245363	8.20872691304981	6.47471847989954
LOC121108095	0	0	0	0	0	0	0	0	0.151177207756153	0	1.02609086413123	0
MOB4	55.5155967756102	77.4118431565285	27.9751290467361	31.8348837171046	87.6153207557702	30.1643346422698	58.4039029550471	61.2156582378673	36.5848842769889	49.1739477846318	16.4174538260996	42.409406043342
PM20D2	39.4628940935061	169.196569244399	55.6461806038339	207.388119287515	33.4768986768316	49.7303895453638	77.2438716502236	83.523059121158	252.919468576043	949.149973276949	90.295996043548	500.333870534237
LOC121111953	153.169538091744	37.8233761351116	48.9564758317883	59.2867037340281	112.461456492481	90.9006300706239	123.401794953406	125.803365446465	135.303600941757	38.4113478921463	52.3306340706926	134.512276419913
PPP1CB	275.236964736911	491.956045597352	360.027747731909	194.700303313306	193.27678220452	311.426373874245	254.967576341389	288.180492806231	393.060740165997	304.878476264717	400.175437011178	373.753124252201
APLP2	163.202477268059	125.573608768571	377.664242130938	316.503336665707	255.784428952666	237.238415700014	123.715794431659	224.370950744726	211.496913650857	153.459829501474	329.375167386124	285.211349039575
CNPPD1	23.0757601055247	26.9806749763796	18.2446493783062	19.3777553060637	31.9076690513551	29.3490823546409	39.2499347816177	18.416575147833	24.9442392797652	32.1022376103445	17.4435446902309	29.7837050075379
NET1	238.449521090422	150.789192858645	269.412655819655	374.175227457563	191.707552579043	344.036465379402	212.263647298989	207.510705891076	187.006205994361	160.511188051723	251.392261712151	239.564583756283
MSL3	36.4530123406116	48.1617656120421	21.2854242746905	32.5269464066069	50.4768862861601	39.9473620938168	47.7279206944471	30.8672175012975	29.0260238891813	30.8033031405618	24.6261807391494	26.2226098435931
HIBADH	362.189104264975	219.375581583647	106.731198863091	136.797724958283	446.445828448059	147.560664060833	266.271557558494	154.336087506488	223.288735855837	149.377464025014	69.7741787609234	216.903069076635
