genes	fast-liver	fast-liver.1	fast-liver.2	fast-liver.3	fast-liver.4	fast-liver.5	fast-liver.6	fast-liver.7	fast-liver.8	fast-liver.9	fast-liver.10	fast-liver.11
CDK7	45.466389221141	40.6133149580382	42.8290569419256	54.5647811053006	46.9918953462719	56.5776265214338	43.5998178061922	45.6052816463456	38.89680807007	43.1770106731323	68.6341033470138	60.8902778297597
RNF41	126.045435464549	52.937355359098	47.1889010617624	109.129562210601	42.7520250894654	101.126938743035	122.478877501364	86.675231416259	106.415795663399	49.8440490858953	113.221221579745	121.33610107682
LOC124417968	16.6560039721012	8.96293847349808	17.6958378981609	12.5044290032981	15.8995134630243	23.6111354774488	5.65799162370433	10.8344039270324	4.89268026038616	5.71460435379692	16.0313234095215	16.8892741425611
EDRF1	1.80064907806499	8.68284664620127	7.43738114560385	1.70514940954064	6.0064828638092	8.24162276099627	2.32976125681943	8.06281222476828	2.20170611717377	8.57190653069538	2.50489428273773	2.66672749619386
HRG	120.643488230354	282.33256191519	519.590834517014	454.138126074325	363.215551999756	500.066029687476	246.95469322286	227.774445349704	290.380573453918	690.514692750461	231.953210581514	222.671745932187
RPL8	687.847947820826	792.37977942269	859.402214445465	539.395596551357	855.74714683211	375.327955466992	471.943066024279	725.653100229145	499.542654585427	846.078922381599	575.123727316582	456.232629140499
OPTC	0	0.280091827296815	0.256461418813926	1.1367662730271	0	0.668239683324022	0	0.251962882024009	0	0	0	0.222227291349488
CIAPIN1	198.071398587149	153.770413185951	167.469306485494	183.019369957362	183.02106608548	179.756474814162	184.716785362112	162.76802178751	120.359934405499	180.962471203569	243.475724282107	293.340024581324
LOC112532222	0	0.280091827296815	0.769384256441777	3.41029881908129	0.353322521400541	0.890986244432029	0	0.755888646072026	0	0	2.00391542619018	0.222227291349488
TMEM128	3.15113588661373	9.2430303007949	9.23261107730133	13.0728121398116	11.6596432062179	4.90042434437616	6.65646073376981	4.03140611238414	5.87121631246339	8.88938455035076	7.01370399166564	5.33345499238771
LOC124417755	0	0.280091827296815	0.256461418813926	0	0	2.00471904997207	0.665646073376981	1.25981441012004	5.62658229944408	0	1.50293656964264	0.222227291349488
RAD1	4.50162269516247	12.3240404010599	11.0278410089988	6.25221450164903	9.53970807781461	4.45493122216014	6.9892837704583	5.54318340452819	3.91414420830893	8.57190653069538	7.51468284821319	6.44459144913515
THYN1	59.8715818456609	29.6897336934624	36.4175214715775	58.5434630608954	28.2658017120433	57.4686127658659	67.230253411075	65.7623122082663	72.4116678537151	31.1128459262277	49.596906798207	39.7786851515584
SELENOH	18.4566530501661	8.12266299160764	9.48907249611526	36.9449038733806	7.06645042801082	21.6064164274767	13.6457445042281	6.80299781464824	14.6780407811585	9.84181860931692	29.5577525363052	25.1116839224921
GMNC	0	0	0	1.70514940954064	0	1.11373280554004	0.33282303668849	0.251962882024009	0.733902039057924	0	0	0.222227291349488
