genes	fast-heart	fast-heart.1	fast-heart.2	fast-heart.3	fast-heart.4	fast-heart.5	fast-heart.6	fast-heart.7	fast-heart.8	fast-heart.9	fast-heart.10	fast-heart.11
VIPR1	13.7689830318318	9.05037835193033	13.9362349622195	14.260697000168	9.64108638552753	11.8226152432349	12.8173485600616	14.2906227179539	9.78816661240593	26.5668494697464	8.21474757577825	19.2465801924667
LOC101749287	2.68663083547937	7.24030268154427	4.18087048866585	1.52793182144657	14.762913527839	5.91130762161743	10.0135535625482	3.17569393732309	7.11866662720431	13.1194318369118	7.11944789900782	4.08260791961416
LOC107052509	0	0	0	0	0	0	0.801084285003853	0.317569393732309	0	0.327985795922795	1.09529967677043	0
PIGN	4.36577510765397	3.80115890781074	3.90214578942146	6.11172728578628	3.91669134412056	5.25449566365994	3.20433714001541	6.66895726837849	5.33899997040323	7.2156875103015	10.9529967677043	5.83229702802022
LOC112532264	0.335828854434921	0	1.39362349622195	0	0.60256789909547	0.328405978978746	5.20704785252504	0	0	0	0	0
FILIP1	145.749722824756	179.740514069336	108.981357404557	102.880742644069	140.097036539697	129.063549738647	117.358847753064	123.534494161868	84.9790828622514	135.786119512037	107.887018161888	96.8161306651357
SPAST	2.01497312660952	17.5577340027448	3.62342109017707	4.58379546433971	5.42311109185923	4.92608968468119	5.60758999502697	1.27027757492924	5.33899997040323	2.29590057145957	2.73824919192608	0.583229702802022
LOC101751426	8.0598925064381	0.905037835193033	0.557449398488781	1.01862121429771	0	0	0.400542142501926	1.27027757492924	3.11441664940189	5.24777273476473	0.547649838385217	0.583229702802022
LOC107053042	0.335828854434921	0.54302270111582	0.836174097733171	2.54655303574428	0	0.985217936936239	2.00271071250963	1.27027757492924	5.33899997040323	3.60784375515075	5.47649838385217	0
MFSD12	7.05240594313334	5.97324971227402	15.0511337591971	12.2234545715726	14.4616295782913	7.88174349548991	15.2206014150732	9.84465120570159	11.567833269207	8.19964489806988	10.4053469293191	12.2478237588425
EXT2	39.9636336777556	47.2429749970763	49.3342717662571	9.67690153582828	30.1283949547735	22.9884185285122	17.6238542700848	45.7299926974525	14.2373332544086	15.7433182042942	12.0482964444748	7.58198613642629
ADAMTS7	6.38074823426349	5.97324971227402	4.73831988715464	4.58379546433971	3.01283949547735	3.94087174774495	6.40867428003082	1.27027757492924	2.22458332100135	0.983957387768386	2.19059935354087	2.91614851401011
SMAD1	42.3144356588	58.46544415347	58.8109115405664	116.122818429939	63.8721973041199	67.323225690643	125.369690603103	63.1963093527295	44.0467497558267	64.2852160008679	91.4575230103312	99.1490494763438
NAGLU	0.671657708869842	3.07712863965631	0.27872469924439	0	0	0.656811957957492	0.400542142501926	0	0	1.31194318369118	0	0.583229702802022
HBEGF	21.8288755382698	12.6705296927025	20.3469030448405	27.5027727860383	13.5577777296481	19.0475467807673	33.2449978276599	18.7365942302062	21.3559998816129	25.9108778779008	21.9059935354087	21.5794990036748
RUNDC1	48.6951838930635	36.2015134077213	51.2853446609678	41.7634697862063	62.3657775563812	40.7223413933645	38.051503537683	46.3651314849171	35.5933331360215	54.1176563272612	44.9072867475878	30.9111742485072
GUSB	6.04491937982857	12.8515372597411	12.821336165242	3.565174250042	12.9552098305526	7.55333751651116	3.60487928251734	16.1960390803478	5.7839166346035	2.29590057145957	1.64294951515565	2.91614851401011
NRK	12.761496468527	33.124384768065	18.1171054508854	33.1051894646757	17.7757530233164	20.3611706966823	28.4384921176368	13.0203451430247	28.4746665088172	21.3190767349817	16.9771449899417	46.6583762241618
LOC121107321	0	0	0	0	0.903851848643206	3.28405978978746	0.801084285003853	0.952708181196928	1.77966665680108	1.63992897961398	0	0
INIP	34.5903720067968	21.5399004775942	32.6107898115937	56.5334773935231	39.4681973907533	71.5925034173667	48.4655992427331	21.2771493800647	64.5129163090391	60.0214006538716	59.1461825456034	62.9888079026184
LOC107050559	9.06737906974286	2.35309837150189	6.68939278186537	11.2048333572749	9.33980243597979	16.0918929699586	3.20433714001541	2.85812454359078	10.2330832766062	15.7433182042942	12.59594628286	16.3304316784566
LSM6	85.9721867353397	93.0378894578438	36.7916603002595	19.3538030716566	47.3015800789944	26.2724783182997	17.2233121275828	84.155889339062	25.8051665236156	19.6791477553677	14.7865456364009	12.8310534616445
LOC112531775	0.671657708869842	0	0	0	0.301283949547735	0.328405978978746	0	0	0.889833328400539	7.87165910214709	0.547649838385217	0
GFM2	13.4331541773968	20.0918399412853	22.0192512403068	20.8817348931031	37.3592097439192	11.1658032852774	24.0325285501156	18.4190248364739	20.9110832174127	11.151517061375	16.9771449899417	15.7472019756546
CMTM3	17.4631004306159	21.9019156116714	25.0852229319951	14.7700076073168	13.2564937801003	11.1658032852774	13.6184328450655	16.8311778678124	10.6779999408065	8.52763069399268	4.92884854546695	15.7472019756546
UBXN6	64.4791400515048	72.9460495165585	63.549231427721	34.1238106789734	66.2824689005017	52.2165506576207	40.4547563926946	63.5138787464618	36.9280831286224	38.3743381229671	38.8831385253504	36.1602415737254
ACMSD	1.34331541773968	0	0	0.509310607148857	0.301283949547735	0.328405978978746	1.60216857000771	3.4932633310554	4.89408330620296	1.63992897961398	0	2.33291881120809
TCAIM	57.0909052539365	53.0352171423118	41.2512554881698	84.0362501795614	56.6413825149742	132.019203549456	76.5035492178679	50.1759642097049	74.7459995856453	69.5329887356326	87.0763243032495	76.986320769867
