genes	slow-leg	slow-leg.1	slow-leg.2	slow-leg.3	slow-leg.4	slow-leg.5	slow-leg.6	slow-leg.7	slow-leg.8	slow-leg.9	slow-leg.10	slow-leg.11
NLRP3	4.88583811816519	2.85923892955908	8.60698661666737	6.02419707620645	7.51023357105278	8.15394150532756	5.7772386882012	8.623035301222	9.85026227909137	2.17527495728998	6.06251483227143	4.17416442128356
DBR1	52.1807511020042	55.755159126402	39.0900642173643	47.1895437636172	45.4566768774247	35.2538059200927	42.4796962367735	23.7995774313727	40.448949358822	46.7684115817345	67.2939146382129	38.263173861766
SRSF6	43.3862424893069	41.6972343894032	30.1244531583358	33.1330839191355	47.0377786818569	45.5661437062422	37.3821326883607	65.5350682892872	45.6884505711046	26.4658453136947	32.4344543526522	59.8296900383977
DHH	3.32236992035233	2.14442919716931	7.53111328958394	4.01613138413763	3.95275451108041	36.4529149649938	4.07805083873026	9.31287812531976	6.49698150323048	3.98800408836496	3.03125741613572	3.94226639787892
SIRPA	0	0	0	0.334677615344803	0	1.19910904490111	0.339837569894188	0.68984282409776	0	0.362545826214996	0	0
SIN3B	0.78173409890643	1.90615928637272	2.86899553888912	1.33871046137921	2.76692815775629	1.43893085388133	3.73821326883607	0.68984282409776	2.09580048491306	3.98800408836496	3.03125741613572	2.08708221064178
LOC101748309	22.2794218188333	27.1627698308112	15.0622265791679	48.8629318403412	35.1795151486157	9.83269416818911	31.9447315700537	15.8663849542485	15.5089235883566	34.8043993166396	16.0656643055193	64.0038544596813
GPR160	3.51780344507893	1.42961946477954	1.7931222118057	5.35484184551684	1.97637725554021	0.719465426940667	2.03902541936513	5.86366400483096	1.88622043642175	3.26291243593497	3.63750889936286	6.72504267873463
TBC1D31	1.95433524726608	2.3826991079659	1.07587332708342	0.334677615344803	0	1.67875266286156	1.01951270968256	2.41444988434216	0.628740145473917	0.362545826214996	1.51562870806786	0.92759209361857
LOC121108413	0.195433524726607	0	1.07587332708342	0	0	0	0	0	0	0	0	0
DECR2	46.9040459343858	28.3541193847942	29.0485798312524	53.5484184551684	47.828329584073	23.9821808980222	38.4016453980433	17.246070602444	34.5807080010654	43.1429533195846	44.2563582755814	41.509746189431
LOC107055286	43.5816760140335	16.6788937557613	10.7587332708342	42.5040571487899	29.250383381995	3.35750532572311	29.5658685807944	18.2808348385906	20.7484248006393	22.8403870515448	30.9188256445843	32.6976213000546
SLC7A10	0.195433524726607	0	0	0.334677615344803	0	0.479643617960444	0.339837569894188	0.34492141204888	0	0.362545826214996	0	0
CNGB1	0.195433524726607	0	0	0	0.790550902216082	0.239821808980222	0.339837569894188	0.34492141204888	0.209580048491306	0.362545826214996	0	0
LOC121107122	0	0.47653982159318	0.71724888472228	0	0	0	0.339837569894188	4.13905694458656	0	0	0	0
GALK2	5.47213869234501	9.292526521067	6.45523996250052	9.37097322965447	5.92913176662062	8.15394150532756	5.43740111830701	5.1738211807332	3.98202092133481	2.53782078350497	8.48752076518	7.6526347723532
MYL10	1362.95340144336	46.2243626945384	6183.40263519078	68.9435887610293	84.9842219882289	93.2906836933064	84.6195549036528	129.34552951833	2560.43945241828	98.249918904264	48.1969929165579	93.4549034320709
WDR18	6.25387279125144	8.33944687788064	11.8346065979176	10.0403284603441	9.88188627770103	14.1494867298331	10.1951270968256	10.3476423614664	14.2514432974088	5.43818739322494	6.365640573885	14.1457794276832
J6367_mgr02	7607.2499499832	6003.44867243088	10957.0525874599	5010.45857932704	5355.19181161174	3021.51497134182	4323.75340176376	6160.296419193	8221.19656216845	3692.89178582595	4198.89777283119	4407.22193480523
RALY	175.303871679767	264.956140805808	49.1315486034762	223.899324665673	194.870797396264	14.6291303477936	224.972471269953	26.9038701398126	50.718371734896	170.033992494833	152.169122290013	263.668052611078
TMEM70	125.859189923935	96.7375837834155	117.987441536815	79.653272452063	106.329096348063	28.5387952686464	53.3544984733875	41.0456480338167	128.682149773662	80.1226275935142	55.4720107152836	81.1643081916248
CNN3	81.8866468604485	114.369557182363	113.32532378612	51.2056751477548	81.8220183793645	216.798915318121	74.4244278068272	77.2623962989491	93.6822816756137	79.0349901148692	63.9595314804636	88.3531469171687
TGM2	146.966010594409	117.705335933515	177.519098968764	93.3750546811999	198.823551907345	441.032306714629	118.263474323177	150.040814241263	230.328473291945	105.138289602349	110.640895688954	133.341363457669
LOC107050985	26.7743928875452	17.6319733989476	29.0485798312524	19.0766240746538	26.8787306753468	26.1405771788442	23.1089547528048	22.0749703711283	29.3412067887828	20.3025662680398	23.9469335874722	19.7113319893946
SH3GL3	3.51780344507893	5.48020794832157	5.3793666354171	5.35484184551684	3.95275451108041	5.99554522450556	5.7772386882012	6.20858541687984	2.09580048491306	8.33855400294491	3.03125741613572	3.71036837447428
SMARCE1	46.317745360206	76.9611811872985	38.0141908902809	38.1532481493075	38.34171875748	20.1450319543387	41.460183527091	36.5616696771813	37.0956685829611	42.4178616671546	70.6282977959622	56.3512196873281
CDC123	13.0940461566827	15.0110043801852	16.4967243486124	14.0564598444817	7.51023357105278	14.3893085388133	13.2536652258733	10.3476423614664	7.96404184266962	12.6891039175249	11.2156524397021	12.5224932638507
DNAAF2	1.17260114835965	2.62096901876249	1.43449776944456	1.00403284603441	1.58110180443216	3.83714894368356	0.679675139788376	2.06952847229328	2.09580048491306	1.81272913107498	2.121880191295	0.92759209361857
ESYT2	53.5487857750905	44.0799334973691	83.2008706277845	43.5080899948243	73.1259584549876	88.0146038957415	59.1317371615887	100.027209494175	86.1373999299266	43.8680449720146	42.1344780842864	52.8727493362585
TSPAN12	24.0383235413727	27.877579563201	37.6555664479197	28.782274919653	28.459832479779	28.5387952686464	27.8666807313234	37.251512501279	40.2393693103307	26.1032994874797	26.0688137787672	25.5087825745107
LOC121107483	42.6045083904004	40.5058848354203	133.049668115983	56.5605169932717	60.4771440195303	111.277319366823	94.1350068606901	211.091904173915	123.442648561379	67.0709778497743	67.5970403798265	125.456830661912
ACO1	11.7260114835964	16.4406238449647	22.5933398687518	14.7258150751713	13.8346407887814	24.9414681339431	10.5349646667198	17.9359134265418	12.993963006461	16.3145621796748	15.4594128222921	15.537167568111
PWWP2B	20.3250865715672	11.4369557182363	15.7794754638902	20.7500121513778	16.2062934954297	7.91411969634733	32.2845691399479	26.2140273157149	20.538844752148	15.2269247010298	23.6438078458586	21.1027201298225
MYLK3	0.586300574179823	0.47653982159318	0.35862444236114	0.669355230689605	0	0.479643617960444	1.01951270968256	0.34492141204888	0	0.362545826214996	0.606251483227143	0.695694070213927
PPP2R2A	3.12693639562572	1.19134955398295	0.35862444236114	1.00403284603441	2.37165270664825	0.719465426940667	3.39837569894188	0	1.04790024245653	1.08763747864499	0.303125741613572	1.85518418723714
ATF7	37.1323696980554	21.2060220608965	22.5933398687518	24.0967883048258	22.1354252620503	12.7105558759518	30.5853812904769	31.0429270843992	21.5867449946045	30.8163952282747	30.9188256445843	30.1467430426035
LOC121107993	0.195433524726607	0	0	0	0	0.479643617960444	0	0	0	0	0	0.231898023404642
SMIM19	89.7039878495128	56.946508680385	79.6146262041731	179.721879440159	127.278695256789	41.7289947625587	97.533382559632	55.8772687519186	99.9696831303528	116.014664388799	83.9658304269593	126.616320778935
LRP2	21.1068206704736	20.2529424177101	95.0354772257022	54.5524513012028	68.7779284927992	89.4535347496229	37.0422951184665	112.099458915886	36.0477683405046	87.0109982915991	26.3719395203807	65.3952426001092
SOX7	47.6857800332922	17.8702433097442	40.5245619868088	29.7863077656874	25.6929043220227	86.8154948508404	26.5073304517467	77.607317710998	63.9219147898482	18.1272913107498	26.6750652619943	22.030312223441
MAIP1	1.17260114835965	0.23826991079659	0.35862444236114	0.334677615344803	0.395275451108041	0	1.35935027957675	0	0	0	0	0.231898023404642
PENK	14.6575143544956	9.292526521067	52.0005441423653	13.3871046137921	30.8314851864272	2.87786170776267	15.9723657850268	13.4519350699063	38.9818890193829	18.8523829631798	19.096921721655	16.0009636149203
ATP5L	2976.06171453678	2666.00203190304	1388.9524652647	2508.07404939395	2761.39430144078	322.320511269419	2423.38171091546	583.607029186705	1653.5865825964	2571.90009116918	2663.26276581684	1777.96214544339
AP5M1	0.586300574179823	0.47653982159318	1.7931222118057	1.33871046137921	0.395275451108041	3.11768351674289	0.339837569894188	0.68984282409776	1.04790024245653	0.362545826214996	0.909377224840715	0
PNAT3	5.47213869234501	6.19501768071134	2.86899553888912	3.34677615344803	3.55747905997237	10.0725159771693	2.7187005591535	1.7246070602444	3.14370072736959	1.45018330485999	2.121880191295	2.08708221064178
LOC124417383	0.977167623633038	1.66788937557613	0	0	0	0.239821808980222	0	0.34492141204888	0	0	0.303125741613572	0.695694070213927
LOC415758	34.7871674013361	22.1591017040829	11.4759821555565	18.7419464593089	18.1826707509699	7.91411969634733	17.3317160646036	14.1417778940041	24.5208656734828	27.1909369661247	31.5250771278114	15.537167568111
CSRNP1	40.6501731431344	8.81598669947382	13.9863532520845	12.0483941524129	22.1354252620503	23.0228936621013	15.9723657850268	15.5214635421996	11.5269026670218	19.2149287893948	17.2781672719736	10.8992071000182
DUS4L	12.7031791072295	10.48387607505	19.3657198875016	13.3871046137921	14.2299162398895	20.1450319543387	12.9138276559791	12.0722494217108	19.0717844127088	14.5018330485999	11.8219039229293	15.537167568111
GFER	10.3579768105102	12.8665751830158	12.5518554826399	7.36290753758566	5.92913176662062	10.79198140411	11.8943149462966	5.86366400483096	9.22152213361745	10.1512831340199	9.09377224840715	7.88453279575784
C9ORF58	167.877397740156	117.467066022719	208.719425454184	188.758175054469	200.799929162885	616.342049079171	150.88788103302	201.434104636546	255.687659159393	197.587475287173	118.522164970906	141.225896253427
BMP10	0	0	0.35862444236114	1.00403284603441	0	0	0	0.34492141204888	0.209580048491306	0	0	0.695694070213927
PRPS2	25.2109246897324	34.3108671547089	141.65665473265	52.544385609134	69.5684793950152	81.7792368622558	57.772386882012	105.545952086957	51.1375318318786	86.2859066391691	25.46256229554	101.339436227829
ENO4	0.390867049453215	0	0	0	1.18582635332412	0	0	1.03476423614664	0	0	0	0
FANCG	2.14976877199268	1.19134955398295	0.35862444236114	4.01613138413763	1.97637725554021	2.87786170776267	1.35935027957675	2.75937129639104	3.35328077586089	1.81272913107498	2.121880191295	0.231898023404642
BRIX1	54.5259533987235	49.7984113564873	56.304037450699	71.286332068443	64.0346230795027	69.068680986304	50.9756354841282	50.7034475711854	61.8261143049352	67.0709778497743	60.6251483227143	69.8013050447974
CYP2AC2	0.78173409890643	0.47653982159318	2.51037109652798	0.669355230689605	0.790550902216082	0.959287235920889	0.679675139788376	1.03476423614664	1.04790024245653	0.725091652429993	1.51562870806786	0.463796046809285
LOC121113179	0.195433524726607	0	0	0	0	0	0	0	0	0	0	0.695694070213927
CA8	36.5460691238756	22.1591017040829	70.2903907027835	37.1492153032731	42.6897487196684	37.6520240098949	36.0227824087839	64.8452254651894	50.2992116379134	35.1669451428546	22.4313048794043	35.4803975809103
