genes	slow-liver	slow-liver.1	slow-liver.2	slow-liver.3	slow-liver.4	slow-liver.5	slow-liver.6	slow-liver.7	slow-liver.8	slow-liver.9	slow-liver.10	slow-liver.11
FAM151BL	14.52101109098	28.9805904831977	48.5515320472182	15.1285929157544	21.8503056171353	26.4376914082281	41.5674049077836	16.7348778635494	17.6734834915113	15.8508082623583	15.9302374445288	15.8194499349682
LOC107055143	0	2.22927619101521	0	0	0	0	0.585456407151882	3.5400703172893	0.285056185346956	0	0.650213773246075	0
CENPH	21.1591875897137	11.1463809550761	63.5910638598245	7.06001002735204	10.4699381082107	17.9640723671294	11.4163999394617	11.907509249064	26.5102252372669	8.70240453619673	12.0289548050524	7.9097249674841
ANKRD26	4.56374634287942	4.45855238203042	7.02934639067469	6.5557235968269	7.4351734391641	3.72839237808346	3.51273844291129	6.11466691168152	2.28044948277565	13.0536068042951	6.50213773246075	5.6027218519679
C2H8orf82	53.9351840522114	68.8289023975947	51.6575223128652	42.8643465946374	37.0241289623682	37.6228685424785	56.4965432901566	47.9518615705551	83.8065184920052	41.6472217089415	34.461329982042	68.2213778445504
LOC121108635	0.622329046756285	1.11463809550761	0.653892687504622	0	2.1243352683326	0	0.878184610727823	0	0	0.310800162007026	0.325106886623037	0.329571873645171
GCNA	1.65954412468343	1.95061666713831	5.06766832816082	0.504286430525146	0.151738233452329	0.677889523287901	0.878184610727823	0.321824574299027	3.99078659485739	0.621600324014052	0.650213773246075	0.659143747290342
VLDLR	35.2653126495228	5.01587142978423	10.9527025157024	32.7786179841345	7.4351734391641	21.0145752219249	7.02547688582259	15.1257549920543	7.41146081902087	14.2968074523232	17.555771877644	11.2054437039358
SLF1	10.164707763686	9.75308333569155	23.0497172345379	6.05143716630175	13.0494880769003	14.5746247506899	11.4163999394617	16.0912287149514	19.383820603593	15.8508082623583	17.8808787642671	12.1941593248713
PIEZO2	1.65954412468343	1.67195714326141	2.61557075001849	4.03429144420117	1.51738233452329	3.72839237808346	0.878184610727823	0.965473722897082	2.85056185346956	1.86480097204216	1.30042754649215	1.64785936822585
ZC3H8	1.03721507792714	1.11463809550761	0.980839031256933	3.02571858315088	1.97259703488027	1.3557790465758	0.585456407151882	2.57459659439222	1.14022474138783	1.86480097204216	1.95064131973822	0.329571873645171
PHGDH	680.827977151376	1091.50935502582	663.701077817192	415.027732322195	954.130011948243	1291.04059710181	914.775636174816	872.466420924663	785.044734445518	1057.0313509859	862.833677097541	1122.8513735091
UNC45A	13.2763529974674	13.9329761938451	15.8568976719871	9.58144217997777	16.0842527459468	17.2861828438415	14.929138382373	12.229333823363	10.8321350431843	12.432006480281	15.2800236712828	9.22801246206478
SLC38A4	153.507831533217	264.169228635303	308.473875330306	127.584466922862	225.331276676708	97.2771465918138	185.589681067147	208.864148720069	169.893486466786	233.10012150527	435.968334961493	175.991380526521
SNAP23	148.114313127996	169.98230956491	155.136040110472	80.6858288840234	134.89528953912	65.4163389972825	123.824030112623	91.7200036752227	199.254273557522	119.347262210698	110.861448338456	127.873886974326
LOC121106468	0	0	0	0	0	0	0.292728203575941	0	0	0	0	0
MAP2K2	28.2122501196183	36.2257381039972	36.781463672135	19.1628843599555	46.7353759033172	38.9786475890543	35.4201126326889	26.7114396668193	26.5102252372669	34.8096181447869	36.0868644151572	21.4221717869361
TBX2	72.6050554548999	58.2398404902724	44.9551222659428	42.3600601641123	84.2147195660424	90.4982513589348	37.4692100577205	61.1466691168152	63.5675293323713	42.8904223569696	61.7703084583771	70.5283809600666
GPR37L1	0.207443015585428	1.11463809550761	0.490419515628467	5.54715073577661	0.303476466904657	0.677889523287901	0.878184610727823	1.60912287149514	1.71033711208174	2.17560113404918	2.27574820636126	0.329571873645171
KCTD20	11.8242518883694	15.6049333371065	17.9820489063771	22.1886029431064	10.9251528085677	10.5072876109625	12.0018563466136	12.5511583976621	11.6873035992252	10.5672055082389	23.4076958368587	9.22801246206478
GSPT2	44.6002483508671	39.56965239052	53.1287808597506	25.2143215262573	48.2527582378405	36.2670894959027	39.2255792791761	33.7915803013979	24.2297757544913	40.7148212229204	51.691994973063	36.582477974614
KREMEN1	0.622329046756285	0.835978571630704	0.817365859380778	2.01714572210058	0.303476466904657	0.338944761643951	0	0	1.42528092673478	0	0.975320659869112	0.659143747290342
RANGAP1	10.7870368104423	17.8342095281217	21.7419318595287	12.1028743326035	16.0842527459468	9.15150856438667	14.929138382373	9.33291265467179	7.98157318971478	18.9588098824286	19.8315200840053	9.88715620935512
BOK	7.26050554548999	5.29453095366113	4.08682929690389	2.01714572210058	8.04212637297342	10.5072876109625	4.39092305363912	11.907509249064	2.85056185346956	8.39160437418971	6.50213773246075	3.29571873645171
KLHL40	0.622329046756285	0.835978571630704	0.326946343752311	1.00857286105029	0.151738233452329	0.677889523287901	2.04909742503159	0.321824574299027	0	0.310800162007026	1.95064131973822	0
POLE	5.80840443639199	2.22927619101521	13.7317464375971	5.04286430525146	6.22126757154548	8.13467427945482	3.51273844291129	3.21824574299027	5.98617989228608	4.35120226809837	1.95064131973822	0
LOC121109633	0.414886031170857	0	0.163473171876156	0	0	0	0	0	0	0.310800162007026	0	0
CENPX	79.2432319536337	59.0758190619031	80.4288005630685	75.1386781482468	50.0736170392685	49.8248799616607	51.2274356257897	55.3538267794327	88.0823612722095	39.4716205748923	44.8647503539792	44.1626310684529
HINT2	133.800745052601	137.936464319066	131.105483844677	122.037316187085	69.3443726877142	59.9932228109793	127.62949675911	93.0073019724189	147.088991639029	72.1056375856301	89.7295007079583	121.612021375068
LOC771161	14.3135680753946	13.6543166699682	13.4048000938448	12.6071607631287	21.8503056171353	14.9135695123338	9.66003071800606	19.6312990322407	15.6780901940826	18.3372095584145	10.4034203719372	17.7968811768392
LOC107049779	0	0.278659523876901	0	0	0	0.338944761643951	0	0	0	0	0	0
LOC121107493	24.2708328234951	18.1128690519986	21.2515123439002	15.1285929157544	27.0094055545145	17.6251276054854	31.6146459862016	21.2404219037358	29.0757309053895	21.1344110164778	19.5064131973822	28.6727530071299
ATG5	10.164707763686	16.7195714326141	13.7317464375971	8.06858288840234	11.3803675089246	13.2188457041141	14.929138382373	9.65473722897081	15.3930340087356	10.5672055082389	16.5804512177749	6.92100934654859
GPSM2	8.92004967017342	1.95061666713831	3.10599026564696	3.02571858315088	2.42781173523726	5.08417142465926	2.04909742503159	1.60912287149514	1.71033711208174	1.2432006480281	0.650213773246075	1.64785936822585
LOC121106916	1527.61036677109	445.576578679165	261.720548173725	515.885018427224	436.55089764235	581.968155742663	565.258161105142	522.64310866162	368.862703838962	572.493898416942	327.707741716022	397.134107742431
TDP1	6.43073348314828	2.78659523876901	9.31797079694087	4.03429144420117	5.91779110464082	4.40628190137136	4.09819485006318	3.21824574299027	1.42528092673478	5.59440291612647	5.85192395921467	2.3070031155162
HELZ2	47.5044505690631	22.2927619101521	13.4048000938448	7.06001002735204	21.8503056171353	24.0650780767205	24.0037126932272	17.3785270121475	18.5286520475522	29.8368155526745	10.7285272585602	14.8307343140327
KLHL18	94.3865720913699	32.8818238174744	34.9832587814973	29.2486129704585	41.7280141993904	29.4881942630237	43.9092305363912	32.8261065785008	50.4549448064113	33.8772176587659	33.1609024355498	19.7743124187102
CYP4V2	415.923246248784	545.058028703219	516.738696300528	413.010586600095	581.612648822776	334.199534980935	498.808858893404	558.043811834513	802.718217937029	735.974783632638	376.148667822854	807.121518557023
SIVA1	12.4465809351257	12.8183380983375	28.4443319064511	12.6071607631287	15.0220851117805	16.9472380821975	20.7837024538918	11.907509249064	12.5424721552661	18.3372095584145	19.5064131973822	10.5462999566455
IL20RA	83.8069782965131	128.183380983375	143.365971735388	59.5057988019672	111.679339820914	48.8080456767289	162.756881188223	112.960425578959	151.364834419234	85.7808447139392	94.9312108939269	145.34119627752
LOC107051944	0.414886031170857	1.11463809550761	1.79820489063771	1.00857286105029	0.606952933809315	1.01683428493185	1.46364101787971	0.321824574299027	0	0	0.325106886623037	1.31828749458068
CD2AP	119.902063008378	154.377376227803	199.43726968891	55.9757937882912	115.32105742377	72.5341789918054	113.578542987465	74.0196520887763	90.6478669403321	80.1864417978127	77.7005459029059	96.8941308516802
SARS1	91.0674838420031	117.594319076052	118.518049610213	99.8487132439789	147.94477761602	182.013337002801	208.42248094607	101.374740904194	73.5444958195147	103.807254110347	96.5567453270421	181.264530504844
FLT1	12.0316949039548	25.9153357205518	13.5682732657209	12.1028743326035	31.1063378577274	34.233420926039	29.858276764746	10.6202109518679	15.1079778233887	19.2696100444356	10.7285272585602	13.512446819452
