genes	fast-leg	fast-leg.1	fast-leg.2	fast-leg.3	fast-leg.4	fast-leg.5	fast-leg.6	fast-leg.7	fast-leg.8	fast-leg.9	fast-leg.10	fast-leg.11
SRFBP1	3.26490197069153	1.42992423916872	10.7616943578874	4.18323573813363	10.6456734256854	8.12428835434774	2.60311411654465	8.4213744451171	3.5385017831344	4.84487726925706	5.79456093274437	2.22503025021401
LOC101750560	318.001451945355	308.863635660444	131.737982656898	135.432257022076	127.516653425058	195.524539727969	230.375599314202	200.553472896678	110.015237257451	193.102965446103	221.93168372411	243.418309373413
RNF20	131.2490592218	125.118370927263	83.1248115919581	92.0311862389399	102.985319009348	119.1562291971	111.93390701142	155.0156703416	81.0638590318062	142.577816780994	121.685779587632	147.74200861421
LOC112530246	5.22384315310645	0	0.37109290889267	0.522904467266704	1.38856609900244	0.541619223623182	0.650778529136163	0.623805514453118	0.965045940854835	1.38425064835916	0	0.445006050042802
ITPRIP	20.8953726124258	37.1780302183868	24.8632248958089	9.67373264443402	12.0342395246878	46.8500628434053	24.078805578038	20.2736792197263	26.6996043636504	39.1050808161463	39.9824704359362	21.3602904020545
LOC107051707	0	6.43465907625925	0	0	0.462855366334148	0	0	0	0	0	0	0
ZBTB17	1.30596078827661	0	10.3906014489948	11.7653505135008	8.09996891084759	8.93671718978251	1.30155705827233	2.49522205781247	9.32877742826341	5.53700259343664	3.47673655964662	4.45006050042802
POMC	0.652980394138307	0	1.11327872667801	0.261452233633352	0	0.812428835434774	1.30155705827233	0.935708271679677	0.965045940854835	1.38425064835916	0	2.22503025021401
ABHD8	3.91788236482984	5.71969695667489	1.48437163557068	0	0.694283049501222	5.41619223623182	6.50778529136163	3.43093032949215	1.60840990142473	1.73031331044895	2.89728046637219	3.11504235029961
BDH1B	6.52980394138307	7.14962119584361	9.27732272231675	8.10501924263391	8.79425196034881	7.85347874253614	7.15856382049779	3.74283308671871	11.902233270543	5.53700259343664	2.31782437309775	4.89506655047082
LOC121111037	15.0185490651811	1.42992423916872	0	0	0	0	0	4.05473584394527	0	0	0	0
SLCO3A1	15.6715294593194	17.874052989609	26.7186894402722	10.9809938126008	20.3656361187025	37.6425360418112	22.7772485197657	19.6498737052732	12.8672792113978	22.8401356979262	8.69184139911656	11.12515125107
