genes	fast-breast	fast-breast.1	fast-breast.2	fast-breast.3	fast-breast.4	fast-breast.5	fast-breast.6	fast-breast.7	fast-breast.8	fast-breast.9	fast-breast.10	fast-breast.11
TNFAIP1	6.25163799962391	12.8382062132777	7.48134982104923	16.4380916007842	11.4800910146193	17.5925237803574	7.17687796932805	11.2022369677305	13.742144545347	11.6662223609089	14.5676097588044	9.47582258439803
ZNF800	3.75098279977434	5.50208837711903	6.04262870161669	3.411679388842	9.61845463387026	3.32831530979734	5.66595629157477	4.6675987365544	7.93990573731162	5.5261053288516	5.82704390352177	5.16863050058074
LOC101750745	1.25032759992478	0.611343153013225	0.287744223886509	0.310152671712909	0.310272730124847	0.237736807842667	1.51092167775327	0	1.2215239595864	0.204670567735244	0	0.430719208381729
TUB4A	338.213615779653	243.314574899264	324.287740320096	225.480992335285	415.45518563717	272.68411859554	442.322321162271	628.725549813877	336.224469876157	310.485251254366	268.918076147529	281.259643073269
CYP39A1	26.2568795984204	10.6985051777314	16.6891649854175	16.4380916007842	14.5828183158678	17.8302605882001	16.620138455286	22.8712338091165	25.6520031513145	16.3736454188195	20.3946536623262	17.6594875436509
TCERG1	10.0026207993983	9.78149044821161	4.31616335829763	13.0264122119422	7.13627279287148	16.1661029333014	1.88865209719159	9.80195734676423	8.55066771710482	1.43269397414671	3.49622634211306	5.16863050058074
MIR219A1	0.625163799962391	0	0	0	0	0.713210423528002	0.377730419438318	0.933519747310879	0	0.409341135470489	0.291352195176088	0.430719208381729
TPRA1	64.3918713961262	69.0817762904945	87.4742440614987	42.1807633529557	93.392091767579	62.5247804626215	64.5919017239524	99.8866129622641	67.7945797570453	64.6758994043372	59.1444956207459	64.6078812572593
HNRNPA1	73.7693283955621	167.508023925624	202.571933616102	158.177862573584	132.796728493435	103.653248219403	89.1443789874431	87.2840963735672	97.111154787119	183.384828690779	152.959902467446	88.7281569266361
FAM46D	2.50065519984956	0.305671576506613	0	0.310152671712909	0.930818190374541	1.18868403921334	0	0.933519747310879	0.610761979793201	0.409341135470489	0.582704390352177	0.430719208381729
SLC6A2	1.87549139988717	0.917014729519838	1.15097689554604	0.930458015138728	1.24109092049939	0	0.755460838876636	3.26731911558808	1.526904949483	3.27472908376391	1.45676097588044	2.15359604190864
CEP192	3.12581899981195	7.3361178361587	9.20781516436829	6.20305343425819	5.58490914224725	4.27926254116801	1.88865209719159	3.73407898924352	2.74842890906941	11.2568812254384	4.9529873179935	1.72287683352691
TOM1	116.905630592967	134.801165239416	288.895200782055	137.397633568819	211.295729215021	103.41551141156	175.644645038818	115.289688792894	137.116064463574	219.406848612182	113.336003923498	160.227545518003
ATP1B4	648.920024360962	937.189053569275	1209.388972995	468.02038161478	518.46573203862	541.802185073439	756.97176055439	501.300104305942	550.601924783571	704.680764712446	595.232534744748	549.166990686704
LOC121109607	0	1.52835788253306	2.30195379109207	0.620305343425819	0	1.426420847056	0	0.46675987365544	1.2215239595864	2.04670567735244	3.49622634211306	3.44575366705383
LOC121106994	3842.25671456885	3799.19202440069	2976.71399610594	4454.72282381252	2747.77529798565	2050.00449402732	3172.55779286243	3459.15742366046	2291.57894818409	1716.57205159549	3632.28781726029	5268.5573569253
ESYT1	2.50065519984956	0.305671576506613	0.287744223886509	0	0	1.426420847056	0.377730419438318	0.933519747310879	1.526904949483	2.04670567735244	1.16540878070435	0.861438416763457
CEP57L1	0	0	0	0.310152671712909	0	2.61510488626934	0	0.46675987365544	0.610761979793201	0.614011703205733	0.582704390352177	2.58431525029037
LOC107051780	0	0	0	0	0	0.475473615685335	1.51092167775327	0.933519747310879	3.35919088886261	0	0	0
PRMT7	8.12712939951108	11.6155199072513	21.5808167914882	23.881755721894	18.9266365376157	18.5434710117281	19.2642513913542	13.0692764623523	16.1851924645198	17.1923276897605	20.3946536623262	14.6444530849788
LETM1	35.0091727978939	32.0955155331943	17.8401418809636	28.8441984693006	46.5409095187271	40.8907309489388	28.7075118773122	40.6081090080232	43.3641005653173	41.3434546825194	34.0882068356023	42.6412016297911
RAB28	6.8768017995863	8.55880414218516	10.0710478360278	8.06396946453564	10.5492728242448	7.36984104312269	6.04368671101309	11.2022369677305	7.02376276762181	6.95879930299831	7.86650926975438	6.0300689173442
FAM212B	2.50065519984956	3.97373049458597	2.87744223886509	4.65229007569364	4.34381822174786	1.426420847056	2.64411293606823	0.933519747310879	2.1376669292762	2.66071738055818	4.66163512281741	1.72287683352691
FBXO39	0.625163799962391	2.4453726120529	3.45293068663811	2.48122137370327	0.620545460249694	2.37736807842667	1.13319125831495	1.86703949462176	3.05380989896601	4.09341135470489	4.37028292764132	0
