genes	slow-brain	slow-brain.1	slow-brain.2	slow-brain.3	slow-brain.4	slow-brain.5	slow-brain.6	slow-brain.7	slow-brain.8	slow-brain.9	slow-brain.10	slow-brain.11
LOC124416954	0.733792961657704	1.00579802127512	0	0.893879279440168	0.255758572216451	1.2470597845957	0	0.211764826524245	1.79447666441022	1.68842474067867	1.62856054210125	0.467330320248684
MYH15	14.1255145119108	9.25334179573113	7.29396995654902	12.2908400923023	17.6473414829351	7.6070646860338	39.3486243905359	13.7647137240759	18.3036619769842	10.130548444072	89.5708298155689	9.11294124484934
LOC421982	14.4924109927397	17.7020451744422	15.5736115288479	17.8775855888034	14.0667214719048	16.4611891566633	13.6206776736471	17.7882454280366	21.8926153058047	10.9747608144113	13.4356244723353	21.4971947314395
PAIP2B	418.445436385306	414.187625161095	406.490974335246	428.3916446717	383.38209975246	406.042665864361	366.244888558065	440.682603996955	311.880044274496	355.694812036306	344.033414518889	396.763441891133
FAM184B	0	0	0.197134323149974	0.446939639720084	0	0.498823913838282	0.504469543468409	0.847059306096981	0.358895332882044	0.562808246892889	0.407140135525313	0
C1orf35	17.7944793201993	19.1101624042273	27.4016709178463	24.1347405448845	17.6473414829351	18.7058967689356	22.19665991261	24.7764847033367	24.0459873030969	22.793733999162	23.6141278604682	24.7685069731803
AGT	189.868928828931	79.8603628892447	81.0222068146391	147.713550927488	120.718046086165	159.74835840671	49.4380152599041	121.764775251441	77.5213919025214	116.219902983382	111.963537269461	118.234571022917
ATP6V0A4	0.183448240414426	0	0	0	1.27879286108225	0.249411956919141	0	0.211764826524245	1.07668599864613	1.12561649378578	2.84998094867719	0.233665160124342
SQSTM1	22.38068533056	92.1310987488012	10.4481191269486	101.678768036319	137.086594708018	74.0753512049848	163.448132083765	116.682419414859	126.331157174479	21.3867133819298	104.635014830005	136.460453512616
LURAP1L	0.733792961657704	0	1.18280593889984	0.223469819860042	2.04606857773161	1.37176576305527	0	0.847059306096981	1.43558133152817	1.12561649378578	1.62856054210125	0.700995480373027
FBN3	1.46758592331541	0.804638417020098	0	0.893879279440168	1.0230342888658	0.498823913838282	1.00893908693682	0.635294479572736	2.87116266305635	0.562808246892889	0.407140135525313	0.233665160124342
LCA5	0.733792961657704	1.00579802127512	0.197134323149974	0.670409459580126	0.255758572216451	0.498823913838282	0	0.635294479572736	0.358895332882044	0	0	3.50497740186513
LOC112533307	5.31999897201836	5.43130931488566	6.11116401764918	5.36327567664101	7.41699859427708	6.36000490143809	7.56704315202614	5.71765031615462	4.66563932746657	4.22106185169667	3.2571210842025	8.17828060435198
LOC100859636	4.58620601036065	6.03478812765074	4.13982078614945	2.45816801846046	3.83637858324676	3.99059131070625	3.02681726081046	1.69411861219396	3.23005799593839	4.50246597514311	1.62856054210125	1.86932128099474
TCTN1	21.2799958880734	31.9843770765489	16.3621488214478	14.7490081107628	16.8800657662858	16.9600130705016	12.1072690432418	28.5882515807731	14.3558133152817	19.1354803943582	15.0641850144366	15.1882354080822
CRYBG3	44.0275776994623	35.6052499531393	25.4303276863466	33.7439427988663	32.9928558159222	35.1670859255989	48.9335457164357	27.5294274481519	32.3005799593839	37.7081525418236	29.3140897578225	29.6754753357915
KBTBD3	45.6786118631921	22.7310352808178	9.46244751119873	10.0561418937019	6.64972287762772	17.708248941259	2.01787817387364	24.5647198768125	14.7147086481638	13.2259938019829	2.84998094867719	7.71095028410329
EPC2	11.9241356269377	17.9032047786972	13.9965369436481	13.4081891916025	15.6012729052035	12.5953038244166	7.56704315202614	14.8235378566972	17.2269759783381	14.0702061723222	11.3999237947088	11.2159276859684
LOC107049008	6.60413665491934	3.82203248084547	3.54841781669952	3.35204729790063	4.34789572767967	4.48941522454454	9.08045178243137	2.96470757133943	4.30674399458452	3.65825360480378	6.51424216840501	8.879276084725
MKLN1	31.3696491108669	35.8064095573944	25.4303276863466	27.7102576626452	20.972202921749	24.6917837349949	24.7190076299521	32.4000184582095	29.7883126292096	26.4519876039658	24.0212679959935	25.7031676136776
MAP1LC3C	2.01793064455869	1.81043643829522	0.197134323149974	0.446939639720084	1.27879286108225	1.12235380613613	8.57598223896296	1.05882413262123	2.15337199729226	0.562808246892889	0.814280271050626	0.934660640497369
LOC121107468	40.1751646507593	26.7542273659183	20.5019696075973	23.6878009051644	18.158858627368	11.9717739321188	9.58492132589978	49.9764990597219	40.914067948553	30.391645332216	17.9141659631138	21.7308598915638
MYOC	28.0675807834072	76.6418092211643	8.67391021859884	8.49185315468159	14.8339971885542	19.9529565535313	26.7368858038257	13.5529488975517	17.9447666441022	27.5776040977516	10.5856435236581	24.5348418130559
LOC101747754	0.550344721243278	0	0.197134323149974	0.446939639720084	0	0	0	0	0.717790665764087	0.562808246892889	0	0
LOC121107558	2.01793064455869	3.82203248084547	2.16847755464971	1.56428873902029	0.511517144432902	5.11294511684239	3.02681726081046	2.75294274481519	2.5122673301743	2.81404123446444	2.03570067762656	2.33665160124342
LOC112531842	0.183448240414426	0.402319208510049	2.36561187779968	0.670409459580126	5.62668858876192	0.748235870757422	0	8.04706340792132	0.358895332882044	0	0.814280271050626	0.934660640497369
LOC107054633	0.366896480828852	0.603478812765074	0	0.223469819860042	0	0.249411956919141	0.504469543468409	0.211764826524245	0	0	0	0
BRAP	42.3765435357324	47.8759858126958	30.5558200882459	42.2357959535479	26.8546500827273	46.6400359438793	23.2055989995468	61.2000348655069	30.5061032949737	32.924282443234	33.3854911130757	36.4517649793974
