genes	fast-brain	fast-brain.1	fast-brain.2	fast-brain.3	fast-brain.4	fast-brain.5	fast-brain.6	fast-brain.7	fast-brain.8	fast-brain.9	fast-brain.10	fast-brain.11
MAN1C1	34.5314931970182	35.4096533167074	29.9585094146788	36.6034234819179	31.7227224571108	39.6073106982319	62.9832645752336	33.6244686222926	23.0144858271508	48.4145354113109	25.2006869282066	32.4411320456783
FAM221A	5.82999235793813	4.95735146433903	4.31834369941315	2.40022449061756	9.760837679111	4.24364043195342	4.30654800514418	3.20233034498025	3.33543272857257	1.24139834387977	0.536184828259714	3.44072612605679
PRPF40A	43.9491731598413	6.13767324156261	10.7958592485329	22.5021045995397	5.79549737197216	17.4460773313641	31.7607915379383	25.618642759842	27.0170051014378	30.4142594250543	36.9967531499203	10.8137106818928
RBM15B	0.896921901221251	0.708193066334148	0.539792962426644	1.80016836796317	0.305026177472219	3.30060922485266	10.2280515122174	0.533721724163375	0.333543272857257	10.862235508948	1.60855448477914	0.737298455583598
AvBD10	667.758355459221	673.491606083774	312.540125245027	915.385615109274	141.227120169637	1489.9893072192	694.969184330141	1840.27250491532	2225.73425977648	756.321941008748	964.060321210967	122.637309778738
NAP1L4	177.142075491197	206.084182303237	323.605880974773	193.818127617368	154.03821962347	172.103195295889	147.499269176188	116.351335867616	171.107698975773	162.933532634219	216.618670616925	211.604656752493
FAM19A1	0.896921901221251	0.472128710889432	2.4290683309199	9.30086990114306	3.66031412966663	6.60121844970532	0.538318500643022	0.533721724163375	1.33417309142903	0.931048757909825	0.536184828259714	1.7203630630284
COIL	20.6292037280888	30.4523018523683	38.5951968135051	23.7022168448484	37.8232460065551	16.0315305207129	13.9962810167186	16.5453734490646	30.0188945571532	15.827828884467	19.8388386456094	34.1614951087067
MGARP	144.852887047232	330.726161978047	458.284225100221	115.51080361097	691.49434432952	124.4801193373	127.581484652396	107.278066556838	657.080247528797	101.794664198141	158.174524336616	373.564550829023
LOC112530453	0.448460950610626	4.01309404256017	1.34948240606661	7.20067347185269	3.96534030713884	5.18667163905418	3.76822950450115	5.33721724163375	1.66771636428629	4.65524378954912	5.89803311085686	0.983064607444798
B3GNTL1	0.448460950610626	0.944257421778863	1.07958592485329	0.900084183981587	0.915078532416656	8.48728086390684	0	0	0.667086545714515	1.24139834387977	1.07236965651943	0.245766151861199
SSTR1	9.41767996282314	11.0950247059016	35.8962320013718	6.9006454105255	31.1126701021663	38.1927638875808	10.2280515122174	20.2814255182083	11.0069280042895	8.37943882118842	18.2302841608303	17.6951629340064
RTN1	1235.50991893227	893.975714069139	986.201742353479	825.977252833769	1140.7979037461	1036.86281220729	597.533535713754	774.430221761057	912.907937810313	883.875620842394	1205.8796787561	796.282332030286
WWTR1	35.4284150982394	30.9244305632578	22.9412009031324	45.3042372604065	15.5563350510832	39.6073106982319	51.1402575610871	44.8326248297235	37.3568465600128	68.897608085327	43.4309710890369	30.2292366789275
SRBD1	0	1.88851484355773	1.07958592485329	1.80016836796317	0.305026177472219	9.90182767455798	0	1.06744344832675	3.33543272857257	0.620699171939883	0.536184828259714	0.983064607444798
GRIA2	92.3829558257889	63.7373759700733	151.9517189231	185.717369961534	106.149109760332	138.625587443812	93.1291006112428	120.621109660923	59.0371592957345	112.967249293059	155.493600195317	94.6199684665618
ARL14EP	90.1406510727357	65.8619551690757	75.0312217773036	81.0075765583428	82.6620940949713	74.9709809645104	103.895470624103	106.744344832675	70.7111738457385	84.7254369697941	78.819169754178	61.4415379652999
KCNMB4	0	0.236064355444716	0.809689443639966	0.300028061327196	0.305026177472219	0	0	0.533721724163375	0.333543272857257	0.620699171939883	0	1.228830759306
LOC107051453	0	0	0.269896481213322	0	0.305026177472219	0	0	0	0	1.24139834387977	1.07236965651943	0
NEMF	9.86614091343376	16.9966335920195	21.0519255346391	10.801010207779	12.8110994538332	16.5030461242633	19.9177845237918	29.888416553149	17.0107069157201	13.0346826107375	9.11514208041515	14.5002029598108
C3H6ORF163	0	0.708193066334148	0.539792962426644	0.300028061327196	1.52513088736109	0	0	0	0.333543272857257	0	0	0.491532303722399
ZDHHC6	129.15675377586	39.4227473592675	58.8374329045042	99.9093444219561	39.043350716444	65.5406688935028	104.972107625389	69.9175458654021	79.04975566717	62.6906163659282	84.1810180367752	71.0264178878866
CDK13	69.9599082952576	17.9408910137984	52.8997103178111	100.809428605938	26.8423036175553	111.27768243789	93.1291006112428	73.6535979345458	50.0314909285886	103.96711129993	109.381704964982	38.5852858422083
ABHD12	82.5168149123551	70.1111135670806	285.010684161268	72.9068189025085	127.195916005915	76.3855277751615	70.5197235842359	44.2989031055601	65.3744814800224	51.8283808569803	83.1086483802557	161.468361772808
APEH	33.6345712957969	41.7833909137147	44.5329194001982	28.5026658260836	48.1941360406106	29.2339674201236	38.7589320462976	20.8151472423716	32.353697467154	21.414121431926	34.3158290086217	49.6447626759623
LOC112531854	0.896921901221251	0	0.269896481213322	3.30030867459915	0	0	0	0.533721724163375	0.333543272857257	1.86209751581965	0	0
TOMM22	416.171762166661	272.654330538647	307.142195620761	443.741502702922	242.800837267886	387.114310514862	269.159250321511	265.259696909197	297.520599388673	331.143008229928	598.918453166101	265.427444010095
SPG21	13.0053675677081	22.426113767248	17.5432712788659	15.6014591890142	14.9462826961387	32.0630610414258	41.9888430501557	24.5511993115153	25.0157454642943	22.0348206038659	10.7236965651943	22.8562521230915
AFF1	9.86614091343376	25.2588860325846	32.1176812643853	17.1015994956501	29.282513037333	16.5030461242633	22.6093770270069	12.2755996557576	22.013856008579	25.4486660495352	11.259881393454	31.2123012863723
SLC9B2	0.448460950610626	0.708193066334148	0.269896481213322	1.50014030663598	0.305026177472219	0	0	0	0.667086545714515	1.55174792984971	0	0
SPATA6	2.69076570366375	16.0523761702407	8.36679091761299	3.90036479725354	9.15078532416656	4.7151560355038	4.30654800514418	4.269773793307	12.6746443685758	3.10349585969942	3.753293797818	11.5510091374764
SLC25A12	23.3199694317525	55.7111878849529	47.771677174758	50.4047143029688	30.8076439246941	37.24973268048	24.224332528936	23.4837558631885	54.0340102028757	35.3798528005733	42.8947862607772	35.3903258680127
LOC107052223	3.13922665427438	0.944257421778863	3.77855073698651	2.70025255194476	1.22010470988888	1.88606241420152	13.9962810167186	5.87093896579713	1.66771636428629	4.65524378954912	2.68092414129857	0.491532303722399
RXRA	113.460620504488	74.5963363205302	45.3426088438381	100.509400544611	54.2946595900549	102.318885970432	103.35715212346	126.49204862672	127.413530231472	162.312833462279	131.36528292363	56.2804487762147
LOC124417441	1.34538285183188	0	0	0	0	0	0	1.06744344832675	0.667086545714515	0	0	0
PITX3	4.03614855549563	13.6917326157935	5.12803314305312	5.70053316521672	3.05026177472219	5.18667163905418	3.22991100385813	16.5453734490646	8.33858182143143	14.5864305405873	4.28947862607771	5.16108918908519
EFCAB4B	1.34538285183188	0.944257421778863	1.34948240606661	1.50014030663598	2.74523559724997	1.41454681065114	1.61495550192907	0.533721724163375	0.667086545714515	2.79314627372947	1.07236965651943	1.4745969111672
FARS2	92.8314167763995	54.0587373968399	47.2318842123314	102.609596973901	37.8232460065551	69.3127937219058	48.448665057872	64.5803286237684	75.3807796657401	61.1388684360785	100.802747712826	46.2040365499055
OLFM3	53.8153140732751	56.1833165958424	60.7267082729975	41.1038444018258	64.9705758015826	53.2812632011929	32.2991100385813	43.2314596572334	53.0333803843039	50.2766329271305	38.6053076346994	48.6616980685175
EXTL3	29.5984227403013	44.3800988236066	63.1557766039174	31.5029464393555	47.2790575081939	40.5503419053327	34.9907025417964	33.6244686222926	39.3581061971564	41.8971941059421	24.1283172716871	42.2717781201263
SCX	1.34538285183188	0	1.34948240606661	0.600056122654391	0	0	0	0	2.3348029100008	5.27594296148901	0.536184828259714	0.983064607444798
MSLN	4.48460950610626	0.944257421778863	0.809689443639966	1.20011224530878	0.915078532416656	0	0	0	0.667086545714515	0	0.536184828259714	0.491532303722399
LIMA1	5.82999235793813	16.7605692365748	17.5432712788659	4.80044898123513	15.2513088736109	3.77212482840304	2.69159250321511	4.80349551747038	13.6752741871475	6.20699171939883	3.753293797818	17.4493967821452
GPR146	11.2115237652656	16.5245048811301	12.1453416545995	21.9020484768853	7.01560208186103	14.6169837100618	7.53645900900231	9.60699103494075	12.6746443685758	10.551885922978	10.1875117369346	11.5510091374764
