reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
BIOMASS_maintenance,0.0229689496030431,0.0341680823642695,1.487577053142328,Increased,"0.3449 L-alanine + 0.2755 L-argininium(1+) + 0.1901 L-asparagine + 0.2448 L-aspartate(1-) + 29.93 ATP + 0.020401 cholesterol + 0.0066 cardiolipin + 0.039036 CTP + 0.1067 L-cysteine + 0.035 dATP + 0.02523 dCTP + 0.02523 dGTP + 0.035 dTTP + 0.27519 D-Glucose 6-phosphate + 0.2424 L-glutamine + 0.3626 L-glutamate(1-) + 0.3106 Glycine + 0.025686 glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) + 0.036117 GTP + 29.83 Water + 0.1255 L-histidine + 0.2186 L-isoleucine + 0.4616 L-leucine + 0.3013 L-lysinium(1+) + 0.1088 L-methionine + 0.0017 phosphatidate(2-) + 0.0182 1-phosphatidyl-1D-myo-inositol(1-) + 0.1302 Phosphatidylcholine + 0.05 Phosphatidylethanolamine (gallus gallus) + 0.0015 phosphatidylglycerol(1-) + 0.1674 L-phenylalanine + 0.2936 L-proline + 0.0165 phosphatidylserine + 0.433 L-serine + 0.0214 sphingomyelin betaine + 0.010837 triglyceride + 0.2674 L-Threonine + 0.0552 L-tryptophan + 0.131 L-tyrosine + 0.053446 UTP + 0.2967 L-valine --> 29.83 ADP + 29.83 proton + 29.83 hydrogenphosphate",['Biomass And Maintenance Functions'],Biomass And Maintenance Functions,['Biomass And Maintenance Functions'],Biomass And Maintenance Functions
BTNt2,-0.0858763424710955,0.0,2000.0,Off,Biotin + proton <==> Biotin + proton,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
BTNt4i,0.0858763424710955,0.0,2000.0,Off,Biotin + proton --> Biotin + proton,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CDIPTr,0.0004180348827753,0.0006218590990297,1.487577053142617,Increased,CDP-diacylglycerol(2-) + myo-inositol <==> CMP + proton + 1-phosphatidyl-1D-myo-inositol(1-),['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CDS,0.0007556784419401,0.0011241299097844,1.4875770531422752,Increased,CTP + proton + phosphatidate(2-) --> CDP-diacylglycerol(2-) + Diphosphate,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CEPTC,0.0110626959800745,0.0164566126856796,1.487577053127042,Increased,CDPcholine + diglyceride --> CMP + proton + Phosphatidylcholine,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CHLPCTD,0.0110626959800745,0.0164566126856796,1.487577053127042,Increased,choline phosphate(1-) + CTP + proton --> CDPcholine + Diphosphate,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CHOLESTTDe,-0.0004685895408516,-0.0006970630483134,1.4875770531424568,Increased,cholesterol <==> Chsterol c,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CHOLESTle,0.0060531680716508,0.0090045539220324,1.4875770531143881,Increased,Water + cholesterol ester --> R total + Chsterol c + proton,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CHOLK,0.0110626959800745,0.0164566126856796,1.487577053127042,Increased,ATP + Choline --> ADP + choline phosphate(1-) + proton,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CHOLtu,0.0034820927598213,0.0051798812864232,1.4875770531423265,Increased,Choline <==> Choline,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CLSm_hs,0.00015159506738,0.0002255093436041,1.4875770531426378,Increased,CDP-diacylglycerol(2-) + phosphatidylglycerol(1-) --> cardiolipin + CMP + proton,['Glycerophospholipid Metabolism'],Glycerophospholipid Metabolism,['Lipid metabolism'],Lipid metabolism
CO2t,-0.5088378418648939,-0.9081408401497622,1.7847352642276373,Increased,carbon dioxide <==> carbon dioxide,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
CO2tm,-2.8380161226238565,-3.326272037645077,1.1720412759916985,Unchanged,carbon dioxide <==> carbon dioxide,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
COAtim,0.0864867545510496,0.1286557114685262,1.4875770531149484,Increased,Coenzyme A <==> Coenzyme A,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
CSm,0.5538832614408685,0.4879203658175663,0.880908306469297,Unchanged,Acetyl-CoA + Water + Oxaloacetate --> Citrate + Coenzyme A + proton,"['2-oxocarboxylic Acid Metabolism', 'Biosynthesis Of Amino Acids', 'Citric Acid Cycle', 'Glyoxylate And Dicarboxylate Metabolism']",2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism,"['2-oxocarboxylic Acid Metabolism', 'AA other', 'Central Energy Metabolism', 'Glyoxylate And Dicarboxylate Metabolism']",2-oxocarboxylic Acid Metabolism; AA other; Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism
CTPS2,0.0123773467795543,0.0184122570478809,1.48757705312866,Increased,ATP + L-glutamine + Water + UTP --> ADP + CTP + L-glutamate(1-) + 2.0 proton + hydrogenphosphate,"['Nucleotide Metabolism', 'Pyrimidine Metabolism', 'Pyrimidine Synthesis']",Nucleotide Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis,['Nucleotide metabolism'],Nucleotide metabolism
CYOOm3,3.244756283130952,3.5414396952155767,1.0914347292050997,Unchanged,4.0 Ferrocytochrome C + 7.92 proton + O2 --> 4.0 Ferricytochrome c + 1.96 Water + 4.0 proton + 0.02 superoxide,['Oxidative Phosphorylation'],Oxidative Phosphorylation,['Oxidative Phosphorylation'],Oxidative Phosphorylation
