Reaction ID,GPR rule (genes),Transcript effect (log2FC),Flux change log2(FG/SG),Adjusted p-value (FDR),Metabolic pathways,Subsystem,Concordant (transcript–flux),Significant reaction (transcript effect & flux ratio)
r0450,AADAT,-0.0115,-3.0,0.9879,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis; Lysine Degradation; Lysine Metabolism,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis; AA other (Cys/Met/Lys/Arg/Pro),True,False
CYSGLUexR,SLC7A10 or SLC7A5,1.146,1.3334,0.9888,Extracellular Transport,Extracellular Transport,True,True
r0129,GGT2 or GGT2P,0.9771,0.84,0.1495,Glutathione Metabolism,Redox & Pentose Metabolism,True,True
GCC2am,AMT and DLD and GLDC and GCSH,-0.0856,-0.737,0.7551,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",True,False
GCC2bim,AMT and DLD and GLDC and GCSH,-0.0856,-0.737,0.7551,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",True,False
PGCD,PHGDH,-0.3278,-0.737,0.5944,"Alanine, Aspartate And Glutamate Metabolism; Biosynthesis Of Amino Acids; Cysteine And Methionine Metabolism; Glycine, Serine And Threonine Metabolism; Methane Metabolism","AA central (A/D/E,G/S/T); Biosynthesis Of Amino Acids; AA other (Cys/Met/Lys/Arg/Pro); Methane Metabolism",True,False
PSP__Lm,PSPH,-0.0841,-0.737,0.9307,"Alanine, Aspartate And Glutamate Metabolism; Glycine, Serine And Threonine Metabolism","AA central (A/D/E,G/S/T)",True,False
FUMm,FH,0.4581,0.696,0.097,Citric Acid Cycle; Pyruvate Metabolism,Central Energy Metabolism,True,False
SUCOASm,SUCLG1 and SUCLA2,0.0517,0.696,0.8844,Citric Acid Cycle; Propanoate Metabolism,Central Energy Metabolism; Propanoate Metabolism,True,False
GCC2cm,DLD,-0.0856,-0.6897,0.7551,Glycolysis/Gluconeogenesis,Central Energy Metabolism,True,False
r1418,CA15L or CA9,0.2457,0.4854,0.8343,Nitrogen Metabolism,Nitrogen disposal,True,False
GLUt4,SLC38A3,0.1033,0.263,0.8364,Extracellular Transport,Extracellular Transport,True,False
CYOOm3,COX5B and COX4I1 and COX6A1 and COX6C and COX7A2L and COX7C and COX5A and COX7B and COX7A2 and COX8A and COX2 and COX3 and COX1,-0.6969,-0.074,,Oxidative Phosphorylation,Oxidative Phosphorylation,True,False
CYOR_u10m,UQCRFS1 and UQCRC1 and UQCRQ and UQCRB and UQCRC2 and UQCR11 and UQCR10 and UQCRHL and CYTB,-0.4791,-0.074,,Oxidative Phosphorylation,Oxidative Phosphorylation,True,False
ATPS4m,NDUFS2 and NDUFA13 and NDUFB7 and NDUFS4 and NDUFC2 and NDUFB6 and NDUFB10 and NDUFAB1 and NDUFA8 and NDUFA5 and NDUFA12 and NDUFB2 and NDUFV3 and NDUFA9 and NDUFA7 and NDUFB9 and NDUFS6 and NDUFS3 and NDUFB1 and NDUFB8 and NDUFA10 and NDUFB3 and NDUFS1 and NDUFB5 and NDUFV2 and NDUFA6 and NDUFV1 and NDUFA2 and NDUFS8 and NDUFB4 and NDUFS7 and NDUFS5 and NDUFA4 and NDUFA1 and NDUFA11 and ND1 and ND3 and ND6 and ND5 and ND4 and ND4L and ND2,-0.707,-0.0589,,Oxidative Phosphorylation,Oxidative Phosphorylation,True,False
ENO,ENO1 or ENO4 or ENO2,0.8543,0.0566,0.0016,Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis; Methane Metabolism,Biosynthesis Of Amino Acids; Central Energy Metabolism; Methane Metabolism,True,False
PYK,PKLR,0.1968,0.0566,0.487,Biosynthesis Of Amino Acids; Glycolysis/Gluconeogenesis; Pyruvate Metabolism,Biosynthesis Of Amino Acids; Central Energy Metabolism,True,False
ATPtm,SLC25A4 or SLC25A6 or SLC25A5,-0.0191,-0.0439,0.0049,"Transport, Mitochondrial",Mitochondrial transport,True,False
r0276,GMPR2,-0.029,-0.0439,0.9622,Nucleotide Metabolism; Purine Catabolism; Purine Metabolism,Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,True,False
AKGMALtm,SLC25A11 or SLC25A10,0.3232,0.0426,0.5539,"Transport, Mitochondrial",Mitochondrial transport,True,False
GLUt2m,SLC25A12 or SLC25A22 or SLC25A13,0.6577,0.0426,0.0903,"Transport, Mitochondrial",Mitochondrial transport,True,False
r0202c,GPD1L2,0.3552,-6.6439,0.62,Glycerophospholipid Metabolism,Lipid metabolism,False,False
BTNt2,SLC16A1,0.5596,-5.6439,0.1147,Extracellular Transport,Extracellular Transport,False,True
BTNt4i,SLC19A3,0.0,-5.6439,,Extracellular Transport,Extracellular Transport,False,False
ACONTm,ACO2 or ACO1,-0.0206,3.0,0.8579,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism,False,False
GLUDxm,GLUD2,2.4688,-3.0,0.0009,"Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Nitrogen Metabolism; Taurine And Hypotaurine Metabolism","AA central (A/D/E,G/S/T); AA other (Cys/Met/Lys/Arg/Pro); Nitrogen disposal; Taurine And Hypotaurine Metabolism",False,True
HACD1m,XRN1 or HADH,0.1318,-3.0,0.8734,Butanoate Metabolism; Fatty Acid Degradation; Fatty Acid Metabolism; Lysine Degradation; Tryptophan Metabolism,Butanoate Metabolism; Lipid metabolism; AA other (Cys/Met/Lys/Arg/Pro); AAA metabolism (Trp/Phe/Tyr),False,False
ICDHxm,IDH3B and IDH3A,-0.2924,3.0,0.8253,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Citric Acid Cycle,2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Central Energy Metabolism,False,False
LYStm,SLC25A15,0.8802,-3.0,0.0743,"Transport, Mitochondrial",Mitochondrial transport,False,True
SACCD3m,AASS,0.2022,-3.0,0.5383,Lysine Degradation; Lysine Metabolism,AA other (Cys/Met/Lys/Arg/Pro),False,False
r0525,AASS,0.2022,-3.0,0.5383,Lysine Degradation; Lysine Metabolism,AA other (Cys/Met/Lys/Arg/Pro),False,False
r0541,GCDH,0.5482,-3.0,0.2005,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),False,True
r0594m,ALDH7A1,0.0239,-3.0,0.9319,Lysine Metabolism,AA other (Cys/Met/Lys/Arg/Pro),False,False
PCm,PC,0.0,1.7782,,Biosynthesis Of Amino Acids; Citric Acid Cycle; Pyruvate Metabolism,Biosynthesis Of Amino Acids; Central Energy Metabolism,False,False
MDH,MDH2 or MDH1,0.1691,-1.5564,0.7134,Citric Acid Cycle; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism; Pyruvate Metabolism,Central Energy Metabolism; Glyoxylate And Dicarboxylate Metabolism; Methane Metabolism,False,False
r1418m,CA5A,-0.0957,0.8953,0.9059,Nitrogen Metabolism,Nitrogen disposal,False,False
AMPTASECG,LAP3,-0.244,0.84,0.4862,Glutathione Metabolism,Redox & Pentose Metabolism,False,False
