"Genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NEIL1",15.4568896164028,-1.04016259984081,0.292299458738193,-3.55855123485692,0.000372906055540454,0.00594693789892326
"HLX",21.7197419557387,1.5869779761065,0.461615767686003,3.43787644876548,0.000586295142548889,0.00811829644964873
"RCOR1",11.768740921871,2.74698605914791,0.605178618209895,4.53913270642878,5.64860794425795e-06,0.000230137691125547
"ZBTB42",67.1539915380367,1.30453910198628,0.320368502753398,4.07199550135064,4.66120798521934e-05,0.00127036414454311
"HHATL",327.144454229589,1.2382794287148,0.443532683655912,2.79185610067789,0.00524066566596456,0.0389774508906114
"ARAP2",6.65687938568192,1.32106328813411,0.365001427809851,3.61933731618804,0.000295358426475002,0.00497186684566253
"ZFYVE26",12.8716019482621,-1.15539321304823,0.407172058627688,-2.83760437035466,0.00454534836038506,0.0353324868149777
"LOC101749275",9.08343835535631,2.37300855849673,0.367431057289683,6.45837773214105,1.05831316818102e-10,2.31270290333957e-08
"SLC1A4",18.3126707662937,1.29297170770774,0.431096901485838,2.99926003469596,0.00270636217612364,0.0245677998450377
"LOC121108871",2.91598321080862,2.36340557281761,0.818181295585814,2.88860865625804,0.00386950315988748,0.0315942573110611
"GPR174",2.2691639565204,-1.85608640784887,0.638918259938535,-2.90504517436616,0.00367200098171944,0.0303533561205543
"UBE2Q2",84.7357393514442,1.39336385861067,0.380902674855019,3.65805742671936,0.00025413411322645,0.00442031535002707
"LINGO1",47.7424887768179,1.31527589219815,0.361708738194631,3.63628453866774,0.000276598794173595,0.00471150905030654
"TRIM8",13.7835524645613,1.92788153978046,0.431308897217191,4.46983948677888,7.8278320359724e-06,0.000299626475287746
"PLCB4",22.4318600781456,1.19213264751673,0.35873027239061,3.32320057510688,0.00088990902502235,0.0109813311824883
"ADAMTS2",2.83526781941798,4.43084977947679,0.798851769695625,5.5465230817039,2.91406174309304e-08,2.77969111827264e-06
"LOC107052158",5.08860402662075,-1.53809214496107,0.494444560399947,-3.11074742882586,0.00186614480859246,0.0187535070689571
"LOC112530184",4.15793308039743,1.97868619698847,0.738003387274071,2.68113430250917,0.00733730619931692,0.0490473210286931
"DLAT",106.746588582351,3.22868460329867,0.625437939919116,5.16227813700623,2.4396243927768e-07,1.74534795099907e-05
"RAB19",15.9479828666784,-1.09101303112279,0.347831914616616,-3.13660991207582,0.00170913360761771,0.017647832328142
"TMEM8A",6.0250800889335,1.83385345276086,0.471027173028142,3.89330713336849,9.88868256737946e-05,0.00221287269024781
"MRPL32",82.8257444500938,-1.39479450564206,0.302136063323004,-4.6164449562942,3.90369499967207e-06,0.000175069067914398
"MPHOSPH8",41.7749969771463,1.02636936190312,0.308884576682149,3.32282489766166,0.000891108318722261,0.0109848521874081
"TAT",23.2651783893584,1.2372468096934,0.325842836936576,3.79706616025512,0.000146418720998405,0.00292813079480837
"J6367_mgt11",6.53683978212593,2.08509554234035,0.671083338429323,3.10705902372802,0.00188958666933684,0.018890849517237
"ELAPOR1",6442.7339967714,1.15698823699963,0.303514299825429,3.81197273955491,0.000137862084056899,0.00280366224751246
"ADSS1",3128.30297138258,1.00480805683416,0.304011443772395,3.30516524103753,0.000949204197543129,0.0115611109935793
"DGCR2",1.04959536214304,3.17050839220886,0.972236137483934,3.2610476714164,0.00111001376734348,0.0130413054444783
"VPS4A",68.5742539746456,1.39979473449637,0.391360896724085,3.57673632244164,0.000347910791979963,0.00562034920538599
"COQ2",7.50631924869785,1.63659802114445,0.50210670487344,3.25946259083908,0.00111623500220499,0.0131015903237322
"LRP4",4.30754768816538,3.89896338636438,0.674248099976893,5.78268353518238,7.35182887061292e-09,9.40017353147836e-07
"YME1L1",126.932316456007,-1.40445299797141,0.337842538165743,-4.15712303606481,3.22280444042055e-05,0.000944683469716944
"MLLT1",22.5812578739511,1.35785794251194,0.282419569907896,4.80794564964027,1.52489207388918e-06,8.21868961258927e-05
"MRPL2",73.7132300181794,2.05663019620158,0.368256064106349,5.58478297212139,2.33992234567744e-08,2.34362722272477e-06
"ST7",9.18707852971709,1.42025792295675,0.390595113124073,3.63613848518786,0.00027675558611502,0.00471150905030654
"CP",10.9542013137439,1.35167307359469,0.35697528117144,3.78646126185285,0.000152807905246359,0.00302072074532236
"KLHL42",62.2545472451132,1.2123272991399,0.274778369960665,4.41201867277053,1.02411278710385e-05,0.000369633981627662
"ADCY9",3.79992966490668,2.42385046500304,0.749425973882628,3.23427603188818,0.00121951527999506,0.0139860249525387
"LOC124417717",35.1235423943946,1.17388089635406,0.363776515222231,3.22692875222287,0.00125126612614801,0.0141877052548801
"GNAO1",15.0711017777335,1.09533342310332,0.384126480395223,2.85149157635877,0.00435146392110513,0.0342952425362377
"LRG1",8.91091065816683,1.60673712494852,0.460075635901391,3.49233256353721,0.000478821685906615,0.00704737401122532
"TMEM39A",2.2384080597438,1.67205022120284,0.602293816600336,2.77613711965494,0.00550090034245895,0.0403519576830161
"SAA",21.1559731207299,-1.33570103747608,0.35739877193708,-3.73728491073615,0.000186018099826565,0.00352642199024524
