sheet,metabolite,group_type,mean,median,std,cv,iqr,n_samples,mean_vsedian_diff
Liver,cmp,slow,57.86521091,59.13424666,38.95310061,0.673169595,61.18074562,12,1.269035754
Liver,cmp,fast,57.9701252,69.93042582,29.86890535,0.515246521,49.74247042,12,11.96030062
Liver,ins,slow,45.96602583,21.48912415,75.17970395,1.635549356,20.55111722,12,24.47690168
Liver,ins,fast,29.21067903,14.56709494,40.12644637,1.373690982,29.75846462,12,14.64358409
Liver,fum,slow,82.40467498,77.33319616,23.77292694,0.288490027,30.01162861,12,5.071478827
Liver,fum,fast,90.13934836,75.04227482,45.58388353,0.505704605,34.70866654,12,15.09707354
Liver,tyr__L,slow,812.9223197,790.6271815,218.1662175,0.268372773,245.1281926,12,22.29513822
Liver,tyr__L,fast,862.0497577,738.1815448,443.6403437,0.514634265,656.0879685,12,123.8682129
Liver,ans,slow,692.1949925,728.6772203,152.2597175,0.219966511,187.2676493,12,36.48222774
Liver,ans,fast,705.3527513,596.006196,240.5867596,0.34108715,278.6489916,12,109.3465554
Liver,carn,slow,189.8003027,171.2379311,78.94767606,0.415951265,56.4137412,12,18.56237159
Liver,carn,fast,203.2293768,187.7908126,99.84644366,0.491299266,67.07357762,12,15.43856421
Liver,phe__L,slow,593.8654152,525.149363,192.4294836,0.324028776,344.966174,12,68.71605224
Liver,phe__L,fast,630.8688386,515.163222,353.1278713,0.559748477,406.7595796,12,115.7056166
Liver,xan,slow,942.0103118,826.8076936,446.3039729,0.473778224,635.5904772,12,115.2026181
Liver,xan,fast,1135.99725,1034.857739,467.2656941,0.411326431,852.1515337,12,101.1395112
Liver,oxyp,slow,17.75842186,12.0894724,23.46648645,1.321428595,20.12895375,12,5.668949464
Liver,oxyp,fast,21.17903005,9.1535721,26.56254381,1.254190761,32.46936226,12,12.02545795
Liver,hxan,slow,206.9520984,146.6958059,138.690606,0.670158008,260.764571,12,60.25629246
Liver,hxan,fast,167.0716952,101.4244881,103.7225936,0.620826846,162.2120245,12,65.64720714
Liver,ade,slow,256.1317205,169.7522186,249.2575608,0.973161623,436.6411874,12,86.37950184
Liver,ade,fast,285.2857489,237.7880803,261.7713361,0.917575929,442.3349632,12,47.49766858
Liver,nad,slow,54.80522721,46.57899791,45.38502629,0.828114919,22.74615536,12,8.226229305
Liver,nad,fast,57.4385021,40.5702016,46.27123244,0.805578675,57.81587639,12,16.8683005
Liver,for,slow,88.82404831,60.51162509,65.3056105,0.735224432,130.7409746,12,28.31242323
Liver,for,fast,72.87168605,68.54729522,44.84493528,0.615395879,71.82037969,12,4.324390829
