,K1_ink,K1,K2_ink,K2,K3_ink,K3,O1_ink,O1,O2_ink,O2,O3_ink,O3
EP10_000654,166,165,245,240,277,159,221,108,365,173,249,207
EP10_000655,2800,1920,2967,2794,3799,1553,2915,1170,2230,1485,2437,2145
EP10_000656,4454,2282,2906,4303,3123,1637,2392,2563,3050,2894,2132,2001
EP10_000657,6846,5127,6201,9107,6333,3662,5203,5557,6787,6900,3920,4610
EP10_000658,15,10,11,11,7,5,6,5,6,8,15,6
EP10_000659,0,4,1,2,4,0,4,2,0,1,3,3
EP10_000660,21,31,48,62,46,28,38,30,49,33,22,32
EP10_000661,43,44,75,78,70,55,66,28,69,50,58,71
EP10_000662,62,72,57,90,75,42,63,64,57,52,35,61
EP10_000663,25,39,28,45,24,30,32,24,21,27,27,46
EP10_000664,19,9,13,30,21,18,31,27,20,24,16,33
EP10_000665,915,723,1079,1036,1245,615,1137,531,1343,634,976,891
EP10_000666,20,22,20,21,21,5,18,11,9,8,18,21
EP10_000667,246,284,1185,416,744,257,474,111,171,152,114,185
EP10_000668,402,448,1416,627,1009,388,773,173,223,196,213,304
EP10_000669,231,248,756,360,585,213,469,116,129,122,120,178
EP10_000670,753,652,864,995,992,732,971,425,598,402,672,767
EP10_000671,284,280,374,417,438,363,397,221,274,185,305,354
EP10_000672,9765,7842,18221,25348,10242,11608,8735,13128,30793,16241,11203,17544
EP10_000673,8076,4215,10841,14922,7134,6169,5569,7923,16953,8149,8207,9370
EP10_000674,2165,784,1864,2401,1459,942,1034,1174,2899,1340,1675,1437
EP10_000675,158,196,317,326,165,156,226,334,598,201,376,166
EP10_000676,1280,969,995,1181,1436,771,1301,910,1619,732,1459,1286
EP10_000677,607,916,1815,1983,1149,1025,951,709,1743,829,747,1084
EP10_000678,194,322,794,745,513,508,400,282,799,381,301,497
EP10_000679,241,394,857,835,567,524,491,276,929,372,285,492
EP10_000680,104,100,89,185,81,126,76,129,169,113,151,120
EP10_000681,55,58,68,91,39,52,67,92,118,57,71,75
EP10_000682,73,59,76,100,23,64,52,116,168,66,70,53
EP10_000683,263,308,385,415,216,232,220,522,943,365,360,207
EP10_000684,323,410,567,502,475,297,387,315,553,313,450,430
EP10_000685,417,387,774,845,454,359,350,345,723,415,429,387
EP10_000686,156,170,385,358,190,167,137,187,324,213,136,183
EP10_000687,230,407,522,550,386,356,319,344,624,331,470,384
EP10_000688,186,244,429,414,247,408,282,319,498,248,285,358
EP10_000689,65,83,142,124,102,108,82,69,168,87,118,126
EP10_000690,151,87,72,214,136,156,171,143,170,124,153,166
EP10_000691,168,137,144,339,182,221,227,185,252,179,259,229
EP10_000692,96,104,124,254,142,240,212,147,243,174,166,204
EP10_000693,149,124,141,340,146,336,325,206,305,199,263,283
EP10_000694,2359,1921,2216,2826,2806,1811,2641,1585,2923,1535,2966,2190
EP10_000695,69,109,93,138,50,62,89,146,214,103,98,86
EP10_000696,81,92,96,120,56,45,84,146,188,92,76,51
EP10_000697,25,32,22,21,17,8,12,36,19,21,16,26
EP10_000698,76,50,104,98,65,40,55,45,76,52,43,71
EP10_000699,3950,3679,5363,6572,5196,5406,6132,3710,7347,3101,4641,4819
EP10_000700,2355,2731,4282,4667,3703,4322,4684,2766,5586,2519,3181,3970
EP10_000701,3362,3104,4671,5118,4330,3988,4520,2857,5821,2581,3585,3613
EP10_000702,24,15,24,38,31,15,28,21,34,34,30,50
EP10_000703,106,87,115,158,146,135,149,71,125,60,124,117
EP10_000704,93,143,99,83,133,129,121,89,121,71,133,97
EP10_000705,24,41,15,36,19,38,18,31,32,23,8,45
EP10_000706,187,137,261,375,300,336,407,282,365,264,364,415
EP10_000707,112,65,91,117,187,130,173,105,114,78,134,180
EP10_000708,1202,1174,1945,2058,1763,1279,1530,775,2039,958,1347,1309
EP10_000709,419,436,845,836,711,579,779,307,898,393,544,552
EP10_000710,229,229,363,390,439,365,473,258,453,276,389,465
EP10_000711,189,307,241,318,292,351,356,334,364,210,480,401
EP10_000712,223,373,245,361,342,395,340,409,391,178,447,366
EP10_000713,37,59,63,93,26,48,19,90,108,46,33,41
EP10_000714,46,59,61,77,31,42,25,60,127,41,41,40
EP10_000715,35,47,61,58,25,31,17,51,84,40,30,18
EP10_000716,977,1824,5751,3770,1199,2127,992,2679,7164,3408,1314,1228
EP10_000717,83,168,477,377,100,265,71,275,544,339,144,120
EP10_000718,465,361,647,690,528,377,465,424,873,432,556,496
EP10_000719,534,472,828,833,833,780,807,562,851,507,710,799
EP10_000720,402,400,618,659,628,678,682,448,662,463,522,613
EP10_000721,865,459,444,620,883,457,1140,499,758,441,677,715
EP10_000722,1227,864,800,885,1731,772,1312,652,1272,753,1742,1279
EP10_000723,249,297,334,408,391,386,454,280,463,239,389,621
EP10_000724,8,17,18,19,10,4,10,10,16,11,14,16
EP10_000725,0,0,0,0,0,0,0,0,0,0,0,0
EP10_000726,0,0,0,0,0,0,0,0,0,0,0,0
EP10_000727,5,7,7,9,8,17,15,9,8,6,7,28
EP10_000728,693,377,326,285,701,189,711,171,444,240,667,256
EP10_000729,2,5,8,9,8,4,10,2,2,3,3,5
EP10_000730,112,64,81,65,163,63,164,41,76,46,87,99
